,Arsenal,Aston Villa,Birmingham,Blackburn,Bolton,Chelsea,Derby,Everton,Fulham,Liverpool,Man City,Man United,Middlesbrough,Newcastle,Portsmouth,Reading,Sunderland,Tottenham,West Ham,Wigan
14,"[8, 0, 6, 31, 8, 8, 41]","[4, 0, 10, 24, 17, 4, 25]","[2, 0, 12, 19, 17, 2, 7]","[2, 2, 10, 17, 14, 4, 16]","[4, 2, 8, 17, 12, 6, 28]","[6, 3, 5, 29, 9, 9, 57]","[1, 1, 12, 8, 24, 2, 5]","[5, 1, 8, 27, 12, 6, 36]","[0, 1, 13, 18, 23, 1, 15]","[5, 1, 8, 33, 11, 6, 44]","[5, 1, 8, 21, 13, 6, 25]","[9, 1, 4, 32, 5, 10, 61]","[3, 0, 11, 14, 19, 3, 22]","[1, 2, 11, 18, 23, 3, 18]","[1, 5, 8, 20, 12, 6, 36]","[2, 0, 12, 15, 21, 2, 18]","[5, 0, 9, 17, 14, 5, 19]","[4, 0, 10, 41, 26, 4, 25]","[2, 0, 12, 16, 17, 2, 22]","[5, 1, 8, 17, 14, 6, 30]"
15,"[8, 0, 7, 32, 9, 8, 41]","[4, 0, 11, 25, 18, 4, 25]","[2, 0, 13, 20, 18, 2, 7]","[2, 2, 11, 18, 15, 4, 16]","[4, 2, 9, 18, 15, 6, 28]","[6, 3, 6, 31, 10, 9, 57]","[1, 1, 13, 8, 25, 2, 5]","[5, 1, 9, 28, 13, 6, 36]","[0, 1, 14, 18, 26, 1, 15]","[6, 1, 8, 36, 11, 7, 44]","[5, 2, 8, 21, 13, 7, 25]","[10, 1, 4, 34, 5, 11, 61]","[4, 0, 11, 15, 19, 4, 22]","[1, 2, 12, 18, 24, 3, 18]","[2, 5, 8, 22, 12, 7, 36]","[3, 0, 12, 17, 21, 3, 18]","[5, 0, 10, 17, 15, 5, 19]","[5, 0, 10, 43, 26, 5, 25]","[2, 0, 13, 18, 18, 2, 22]","[6, 1, 8, 18, 14, 7, 30]"
16,"[8, 0, 8, 33, 10, 8, 41]","[4, 0, 12, 25, 19, 4, 25]","[2, 0, 14, 23, 19, 2, 7]","[2, 2, 12, 21, 16, 4, 16]","[4, 3, 9, 18, 15, 7, 28]","[7, 3, 6, 32, 10, 10, 57]","[1, 1, 14, 10, 27, 2, 5]","[6, 1, 9, 29, 13, 7, 36]","[1, 1, 14, 19, 26, 2, 15]","[6, 1, 9, 38, 12, 7, 44]","[5, 2, 9, 23, 14, 7, 25]","[11, 1, 4, 37, 5, 12, 61]","[4, 0, 12, 17, 21, 4, 22]","[2, 2, 12, 20, 24, 4, 18]","[3, 5, 8, 24, 12, 8, 36]","[3, 0, 13, 19, 22, 3, 18]","[5, 0, 11, 19, 16, 5, 19]","[5, 0, 11, 44, 30, 5, 25]","[2, 0, 14, 18, 19, 2, 22]","[7, 1, 8, 20, 14, 8, 30]"
17,"[8, 0, 9, 34, 11, 8, 41]","[5, 0, 12, 29, 19, 5, 25]","[2, 0, 15, 24, 20, 2, 7]","[2, 2, 13, 22, 17, 4, 16]","[4, 3, 10, 20, 18, 7, 28]","[7, 3, 7, 33, 11, 10, 57]","[1, 1, 15, 10, 33, 2, 5]","[6, 1, 10, 29, 14, 7, 36]","[1, 1, 15, 20, 29, 2, 15]","[7, 1, 9, 39, 12, 8, 44]","[5, 2, 10, 23, 16, 7, 25]","[12, 1, 4, 41, 5, 13, 61]","[4, 0, 13, 17, 22, 4, 22]","[3, 2, 12, 23, 24, 5, 18]","[3, 6, 8, 24, 12, 9, 36]","[3, 1, 13, 19, 22, 4, 18]","[5, 0, 12, 20, 18, 5, 19]","[5, 0, 12, 45, 31, 5, 25]","[2, 0, 15, 20, 20, 2, 22]","[7, 1, 9, 21, 15, 8, 30]"
18,"[9, 0, 9, 36, 11, 9, 41]","[5, 0, 13, 34, 20, 5, 25]","[2, 0, 16, 26, 22, 2, 7]","[2, 2, 14, 23, 18, 4, 16]","[5, 3, 10, 21, 18, 8, 28]","[7, 3, 8, 35, 12, 10, 57]","[1, 1, 16, 12, 39, 2, 5]","[6, 1, 11, 31, 16, 7, 36]","[1, 1, 16, 20, 31, 2, 15]","[7, 1, 10, 42, 13, 8, 44]","[5, 2, 11, 26, 17, 7, 25]","[12, 1, 5, 43, 6, 13, 61]","[5, 0, 13, 19, 22, 5, 22]","[4, 2, 12, 25, 24, 6, 18]","[3, 6, 9, 24, 13, 9, 36]","[3, 1, 14, 19, 24, 4, 18]","[5, 0, 13, 23, 20, 5, 19]","[5, 0, 13, 46, 32, 5, 25]","[2, 0, 16, 22, 22, 2, 22]","[7, 2, 9, 21, 15, 9, 30]"
19,"[10, 0, 9, 37, 11, 10, 41]","[5, 0, 14, 34, 22, 5, 25]","[2, 0, 17, 30, 23, 2, 7]","[2, 2, 15, 26, 19, 4, 16]","[6, 3, 10, 23, 18, 9, 28]","[7, 3, 9, 36, 13, 10, 57]","[1, 1, 17, 12, 43, 2, 5]","[6, 1, 12, 34, 17, 7, 36]","[2, 1, 16, 22, 31, 3, 15]","[8, 1, 10, 43, 13, 9, 44]","[5, 2, 12, 28, 20, 7, 25]","[12, 1, 6, 47, 7, 13, 61]","[5, 0, 14, 27, 23, 5, 22]","[4, 2, 13, 25, 26, 6, 18]","[3, 6, 10, 24, 14, 9, 36]","[3, 1, 15, 19, 25, 4, 18]","[5, 0, 14, 23, 21, 5, 19]","[5, 0, 14, 46, 34, 5, 25]","[2, 0, 17, 24, 24, 2, 22]","[7, 2, 10, 21, 17, 9, 30]"
20,"[10, 0, 10, 12, 38, 10, 41]","[5, 1, 14, 22, 34, 6, 25]","[2, 0, 18, 25, 33, 2, 7]","[2, 2, 16, 21, 27, 4, 16]","[6, 3, 11, 19, 25, 9, 28]","[7, 3, 10, 15, 37, 10, 57]","[1, 1, 18, 43, 13, 2, 5]","[6, 1, 13, 20, 35, 7, 36]","[2, 1, 17, 32, 24, 3, 15]","[8, 1, 11, 15, 44, 9, 44]","[6, 2, 12, 22, 28, 8, 25]","[12, 1, 7, 8, 48, 13, 61]","[5, 0, 15, 23, 28, 5, 22]","[4, 2, 14, 29, 26, 6, 18]","[3, 6, 11, 16, 26, 9, 36]","[3, 2, 15, 25, 19, 5, 18]","[5, 0, 15, 23, 25, 5, 19]","[5, 0, 15, 34, 47, 5, 25]","[3, 0, 17, 25, 24, 3, 22]","[7, 2, 11, 18, 23, 9, 30]"
21,"[10, 0, 11, 41, 13, 10, 41]","[5, 1, 15, 34, 23, 6, 25]","[2, 0, 19, 35, 26, 2, 7]","[2, 2, 17, 28, 22, 4, 16]","[6, 3, 12, 26, 22, 9, 28]","[7, 3, 11, 38, 16, 10, 57]","[1, 1, 19, 13, 47, 2, 5]","[6, 1, 14, 35, 21, 7, 36]","[2, 1, 18, 25, 34, 3, 15]","[9, 1, 11, 46, 15, 10, 44]","[6, 2, 13, 28, 23, 8, 25]","[12, 1, 8, 48, 9, 13, 61]","[5, 0, 16, 30, 24, 5, 22]","[4, 2, 15, 28, 31, 6, 18]","[3, 6, 12, 26, 17, 9, 36]","[3, 2, 16, 19, 28, 5, 18]","[5, 0, 16, 25, 26, 5, 19]","[5, 0, 16, 47, 35, 5, 25]","[4, 0, 17, 27, 25, 4, 22]","[7, 2, 12, 24, 19, 9, 30]"
22,"[11, 0, 11, 14, 41, 11, 41]","[5, 1, 16, 27, 38, 6, 25]","[2, 0, 20, 26, 37, 2, 7]","[2, 3, 17, 22, 28, 5, 16]","[6, 3, 13, 22, 27, 9, 28]","[7, 3, 12, 16, 40, 10, 57]","[1, 1, 20, 47, 19, 2, 5]","[6, 1, 15, 23, 36, 7, 36]","[2, 1, 19, 35, 26, 3, 15]","[9, 2, 11, 15, 46, 11, 44]","[6, 2, 14, 23, 29, 8, 25]","[13, 1, 8, 10, 48, 14, 61]","[5, 0, 17, 24, 33, 5, 22]","[4, 2, 16, 31, 29, 6, 18]","[3, 6, 13, 18, 29, 9, 36]","[3, 2, 17, 29, 21, 5, 18]","[5, 0, 17, 26, 26, 5, 19]","[5, 0, 17, 38, 50, 5, 25]","[4, 0, 18, 26, 30, 4, 22]","[7, 2, 13, 19, 25, 9, 30]"
23,"[11, 0, 12, 42, 15, 11, 41]","[5, 1, 17, 39, 28, 6, 25]","[2, 1, 20, 37, 26, 3, 7]","[2, 3, 18, 30, 23, 5, 16]","[6, 3, 14, 28, 23, 9, 28]","[7, 3, 13, 40, 18, 10, 57]","[1, 1, 21, 19, 52, 2, 5]","[6, 1, 16, 36, 25, 7, 36]","[2, 2, 19, 26, 35, 4, 15]","[10, 2, 11, 47, 15, 12, 44]","[6, 2, 15, 32, 26, 8, 25]","[14, 1, 8, 49, 10, 15, 61]","[5, 0, 18, 33, 26, 5, 22]","[4, 2, 17, 30, 34, 6, 18]","[4, 6, 13, 30, 18, 10, 36]","[3, 2, 18, 25, 36, 5, 18]","[5, 0, 18, 28, 28, 5, 19]","[5, 0, 18, 51, 39, 5, 25]","[4, 0, 19, 30, 27, 4, 22]","[7, 2, 14, 26, 21, 9, 30]"
24,"[11, 0, 13, 18, 43, 11, 41]","[5, 1, 18, 30, 40, 6, 25]","[2, 1, 21, 27, 39, 3, 7]","[2, 3, 19, 25, 31, 5, 16]","[6, 3, 15, 23, 30, 9, 28]","[8, 3, 13, 19, 40, 11, 57]","[1, 1, 22, 52, 20, 2, 5]","[6, 1, 17, 27, 39, 7, 36]","[2, 2, 20, 36, 27, 4, 15]","[10, 2, 12, 17, 48, 12, 44]","[6, 2, 16, 26, 38, 8, 25]","[14, 1, 9, 14, 50, 15, 61]","[5, 0, 19, 27, 36, 5, 22]","[4, 2, 18, 35, 32, 6, 18]","[5, 6, 13, 20, 30, 11, 36]","[3, 2, 19, 38, 29, 5, 18]","[5, 0, 19, 30, 31, 5, 19]","[5, 0, 19, 41, 53, 5, 25]","[4, 1, 19, 27, 30, 5, 22]","[7, 2, 15, 21, 30, 9, 30]"
