,Arsenal,Aston Villa,Blackburn,Bolton,Chelsea,Everton,Fulham,Hull,Liverpool,Man City,Man United,Middlesbrough,Newcastle,Portsmouth,Stoke,Sunderland,Tottenham,West Brom,West Ham,Wigan
14,"[5, 3, 6, 18, 11, 8, 38]","[0, 5, 9, 20, 15, 5, 29]","[3, 1, 10, 15, 21, 4, 20]","[2, 2, 10, 14, 15, 4, 13]","[5, 2, 7, 23, 8, 7, 58]","[5, 1, 8, 20, 16, 6, 41]","[4, 1, 9, 22, 12, 5, 29]","[1, 0, 13, 15, 29, 1, 14]","[5, 3, 6, 22, 8, 8, 50]","[7, 0, 7, 30, 12, 7, 30]","[10, 0, 4, 31, 9, 10, 66]","[2, 3, 9, 12, 15, 5, 13]","[2, 1, 11, 20, 22, 3, 13]","[2, 0, 12, 18, 22, 2, 16]","[4, 2, 8, 17, 13, 6, 28]","[4, 1, 9, 16, 16, 5, 19]","[3, 4, 7, 15, 9, 7, 29]","[3, 0, 11, 19, 27, 3, 18]","[2, 1, 11, 19, 17, 3, 22]","[3, 2, 9, 13, 12, 5, 27]"
15,"[6, 3, 6, 22, 11, 9, 38]","[0, 5, 10, 21, 17, 5, 29]","[3, 1, 11, 16, 22, 4, 20]","[2, 2, 11, 15, 18, 4, 13]","[6, 2, 7, 24, 8, 8, 58]","[5, 1, 9, 23, 17, 6, 41]","[5, 1, 9, 24, 12, 6, 29]","[1, 0, 14, 16, 30, 1, 14]","[6, 3, 6, 27, 8, 9, 50]","[8, 0, 7, 31, 12, 8, 30]","[10, 0, 5, 34, 11, 10, 66]","[2, 3, 10, 13, 16, 5, 13]","[2, 1, 12, 21, 25, 3, 13]","[2, 0, 13, 20, 23, 2, 16]","[5, 2, 8, 18, 13, 7, 28]","[4, 1, 10, 17, 18, 5, 19]","[4, 4, 7, 16, 9, 8, 29]","[3, 0, 12, 20, 28, 3, 18]","[2, 2, 11, 19, 17, 4, 22]","[4, 2, 9, 14, 12, 6, 27]"
16,"[7, 3, 6, 24, 11, 10, 38]","[0, 5, 11, 24, 20, 5, 29]","[3, 1, 12, 18, 23, 4, 20]","[2, 2, 12, 19, 19, 4, 13]","[6, 2, 8, 28, 11, 8, 58]","[6, 1, 9, 27, 17, 7, 41]","[5, 1, 10, 24, 13, 6, 29]","[1, 1, 14, 16, 30, 2, 14]","[7, 3, 6, 31, 8, 10, 50]","[8, 0, 8, 32, 15, 8, 30]","[11, 0, 5, 36, 11, 11, 66]","[2, 3, 11, 16, 17, 5, 13]","[2, 1, 13, 21, 27, 3, 13]","[2, 0, 14, 22, 25, 2, 16]","[5, 2, 9, 19, 14, 7, 28]","[4, 1, 11, 18, 20, 5, 19]","[5, 4, 7, 17, 9, 9, 29]","[3, 0, 13, 20, 30, 3, 18]","[3, 2, 11, 21, 17, 5, 22]","[4, 2, 10, 15, 16, 6, 27]"
17,"[8, 3, 6, 26, 11, 11, 38]","[0, 5, 12, 25, 21, 5, 29]","[4, 1, 12, 20, 23, 5, 20]","[2, 2, 13, 20, 20, 4, 13]","[6, 3, 8, 28, 11, 9, 58]","[6, 1, 10, 28, 19, 7, 41]","[6, 1, 10, 25, 13, 7, 29]","[1, 1, 15, 17, 33, 2, 14]","[7, 3, 7, 35, 12, 10, 50]","[8, 0, 9, 36, 17, 8, 30]","[11, 0, 6, 41, 13, 11, 66]","[2, 4, 11, 16, 17, 6, 13]","[2, 2, 13, 21, 27, 4, 13]","[3, 0, 14, 23, 25, 3, 16]","[6, 2, 9, 20, 14, 8, 28]","[5, 1, 11, 19, 20, 6, 19]","[6, 4, 7, 18, 9, 10, 29]","[4, 0, 13, 23, 30, 4, 18]","[3, 2, 12, 21, 18, 5, 22]","[4, 3, 10, 15, 16, 7, 27]"
18,"[8, 3, 7, 27, 15, 11, 38]","[1, 5, 12, 26, 21, 6, 29]","[5, 1, 12, 22, 23, 6, 20]","[2, 3, 13, 20, 20, 5, 13]","[6, 3, 9, 31, 12, 9, 58]","[6, 2, 10, 28, 19, 8, 41]","[6, 1, 11, 28, 14, 7, 29]","[1, 1, 16, 18, 35, 2, 14]","[8, 3, 7, 38, 12, 11, 50]","[8, 0, 10, 39, 18, 8, 30]","[12, 0, 6, 43, 13, 12, 66]","[2, 4, 12, 16, 19, 6, 13]","[2, 2, 14, 24, 28, 4, 13]","[3, 0, 15, 23, 28, 3, 16]","[6, 2, 10, 20, 15, 8, 28]","[5, 1, 12, 19, 22, 6, 19]","[7, 4, 7, 19, 9, 11, 29]","[4, 0, 14, 26, 31, 4, 18]","[3, 2, 13, 21, 21, 5, 22]","[4, 3, 11, 16, 18, 7, 27]"
19,"[8, 3, 8, 31, 16, 11, 38]","[2, 5, 12, 27, 21, 7, 29]","[5, 2, 12, 22, 23, 7, 20]","[2, 3, 14, 21, 21, 5, 13]","[7, 3, 9, 33, 12, 10, 58]","[6, 2, 11, 31, 20, 8, 41]","[6, 1, 12, 28, 16, 7, 29]","[1, 1, 17, 18, 36, 2, 14]","[8, 3, 8, 41, 13, 11, 50]","[9, 0, 10, 40, 18, 9, 30]","[12, 1, 6, 43, 13, 13, 66]","[2, 4, 13, 17, 20, 6, 13]","[2, 2, 15, 24, 29, 4, 13]","[3, 0, 16, 26, 29, 3, 16]","[7, 2, 10, 22, 15, 9, 28]","[5, 1, 13, 21, 25, 6, 19]","[7, 4, 8, 21, 10, 11, 29]","[4, 0, 15, 26, 33, 4, 18]","[3, 2, 14, 23, 22, 5, 22]","[5, 3, 11, 17, 18, 8, 27]"
20,"[8, 3, 9, 16, 32, 11, 38]","[2, 5, 13, 23, 30, 7, 29]","[5, 2, 13, 26, 24, 7, 20]","[2, 3, 15, 21, 22, 5, 13]","[8, 3, 9, 13, 33, 11, 58]","[6, 2, 12, 22, 32, 8, 41]","[6, 1, 13, 17, 30, 7, 29]","[1, 1, 18, 37, 19, 2, 14]","[9, 3, 8, 14, 41, 12, 50]","[9, 0, 11, 20, 44, 9, 30]","[13, 1, 6, 14, 43, 14, 66]","[2, 4, 14, 21, 19, 6, 13]","[2, 2, 16, 30, 25, 4, 13]","[3, 0, 17, 29, 30, 3, 16]","[7, 2, 11, 16, 25, 9, 28]","[5, 1, 14, 27, 22, 6, 19]","[7, 4, 9, 11, 23, 11, 29]","[4, 0, 16, 33, 27, 4, 18]","[3, 2, 15, 22, 26, 5, 22]","[5, 3, 12, 19, 19, 8, 27]"
21,"[9, 3, 9, 36, 16, 12, 38]","[2, 5, 14, 32, 24, 7, 29]","[5, 2, 14, 25, 30, 7, 20]","[2, 3, 16, 23, 23, 5, 13]","[8, 3, 10, 36, 14, 11, 58]","[6, 2, 13, 35, 24, 8, 41]","[6, 1, 14, 30, 18, 7, 29]","[1, 1, 19, 21, 38, 2, 14]","[9, 4, 8, 41, 14, 13, 50]","[10, 0, 11, 47, 20, 10, 30]","[13, 1, 7, 44, 16, 14, 66]","[2, 4, 15, 20, 23, 6, 13]","[2, 2, 17, 25, 33, 4, 13]","[4, 0, 17, 33, 29, 4, 16]","[7, 2, 12, 26, 18, 9, 28]","[5, 1, 15, 23, 28, 6, 19]","[7, 4, 10, 24, 12, 11, 29]","[4, 1, 16, 27, 33, 5, 18]","[3, 2, 16, 28, 25, 5, 22]","[6, 3, 12, 24, 19, 9, 27]"
22,"[9, 3, 10, 19, 37, 12, 38]","[2, 5, 15, 26, 33, 7, 29]","[5, 2, 15, 32, 26, 7, 20]","[2, 3, 17, 23, 25, 5, 13]","[9, 3, 10, 16, 36, 12, 58]","[6, 2, 14, 26, 37, 8, 41]","[6, 1, 15, 18, 31, 7, 29]","[1, 1, 20, 40, 22, 2, 14]","[10, 4, 8, 16, 41, 14, 50]","[10, 0, 12, 21, 49, 10, 30]","[13, 1, 8, 17, 45, 14, 66]","[2, 4, 16, 23, 22, 6, 13]","[2, 2, 18, 34, 28, 4, 13]","[4, 0, 18, 29, 39, 4, 16]","[7, 3, 12, 18, 26, 10, 28]","[5, 1, 16, 29, 25, 6, 19]","[7, 4, 11, 12, 26, 11, 29]","[5, 1, 16, 34, 27, 6, 18]","[3, 2, 17, 27, 29, 5, 22]","[6, 4, 12, 19, 24, 10, 27]"
23,"[9, 3, 11, 38, 20, 12, 38]","[2, 5, 16, 33, 28, 7, 29]","[5, 3, 15, 26, 32, 8, 20]","[2, 3, 18, 28, 24, 5, 13]","[10, 3, 10, 41, 16, 13, 58]","[6, 2, 15, 38, 29, 8, 41]","[6, 1, 16, 32, 19, 7, 29]","[2, 1, 20, 23, 40, 3, 14]","[10, 4, 9, 44, 18, 14, 50]","[10, 0, 13, 51, 23, 10, 30]","[14, 1, 8, 47, 17, 15, 66]","[3, 4, 16, 23, 23, 7, 13]","[2, 2, 19, 30, 36, 4, 13]","[4, 1, 18, 39, 29, 5, 16]","[7, 3, 13, 27, 20, 10, 28]","[5, 2, 16, 25, 29, 7, 19]","[7, 4, 12, 27, 14, 11, 29]","[5, 1, 17, 27, 38, 6, 18]","[3, 2, 18, 29, 28, 5, 22]","[6, 4, 13, 26, 22, 10, 27]"
