,Arsenal,Aston Villa,Birmingham,Blackburn,Bolton,Burnley,Chelsea,Everton,Fulham,Hull,Liverpool,Man City,Man United,Portsmouth,Stoke,Sunderland,Tottenham,West Ham,Wigan,Wolves
14,"[7, 0, 7, 38, 14, 7, 38]","[4, 2, 8, 23, 10, 6, 37]","[4, 3, 7, 13, 8, 7, 25]","[3, 3, 8, 21, 12, 6, 25]","[2, 1, 11, 18, 23, 3, 11]","[3, 0, 11, 19, 15, 3, 9]","[8, 0, 6, 41, 12, 8, 52]","[4, 0, 10, 23, 17, 4, 29]","[6, 1, 7, 21, 9, 7, 26]","[1, 2, 11, 19, 22, 3, 11]","[7, 0, 7, 33, 12, 7, 41]","[4, 1, 9, 30, 16, 5, 27]","[9, 0, 5, 39, 8, 9, 55]","[3, 0, 11, 17, 22, 3, 15]","[4, 0, 10, 20, 17, 4, 30]","[3, 2, 9, 23, 14, 5, 17]","[5, 2, 7, 30, 9, 7, 33]","[3, 1, 10, 24, 22, 4, 18]","[3, 1, 10, 12, 18, 4, 20]","[2, 1, 11, 10, 19, 3, 16]"
15,"[7, 0, 8, 41, 15, 7, 38]","[4, 2, 9, 25, 12, 6, 37]","[4, 3, 8, 15, 10, 7, 25]","[3, 3, 9, 22, 13, 6, 25]","[3, 1, 11, 22, 23, 4, 11]","[3, 0, 12, 20, 17, 3, 9]","[8, 0, 7, 45, 13, 8, 52]","[4, 0, 11, 28, 18, 4, 29]","[6, 1, 8, 22, 11, 7, 26]","[2, 2, 11, 21, 22, 4, 11]","[7, 0, 8, 37, 13, 7, 41]","[5, 1, 9, 33, 16, 6, 27]","[10, 0, 5, 42, 8, 10, 55]","[3, 0, 12, 20, 24, 3, 15]","[4, 1, 10, 20, 17, 5, 30]","[3, 2, 10, 24, 15, 5, 17]","[5, 2, 8, 33, 10, 7, 33]","[3, 1, 11, 25, 25, 4, 18]","[3, 1, 11, 13, 20, 4, 20]","[2, 1, 12, 10, 20, 3, 16]"
16,"[8, 0, 8, 43, 15, 8, 38]","[4, 2, 10, 26, 13, 6, 37]","[4, 3, 9, 16, 11, 7, 25]","[3, 3, 10, 24, 14, 6, 25]","[3, 1, 12, 22, 27, 4, 11]","[3, 0, 13, 20, 18, 3, 9]","[8, 0, 8, 52, 14, 8, 52]","[5, 0, 11, 30, 18, 5, 29]","[6, 1, 9, 24, 12, 7, 26]","[2, 2, 12, 22, 26, 4, 11]","[8, 0, 8, 40, 13, 8, 41]","[5, 1, 10, 38, 17, 6, 27]","[10, 0, 6, 44, 9, 10, 55]","[3, 0, 13, 20, 29, 3, 15]","[4, 1, 11, 21, 19, 5, 30]","[3, 2, 11, 27, 16, 5, 17]","[6, 2, 8, 35, 10, 8, 33]","[3, 1, 12, 25, 26, 4, 18]","[4, 1, 11, 14, 20, 5, 20]","[2, 2, 12, 10, 20, 4, 16]"
17,"[9, 0, 8, 44, 15, 9, 38]","[4, 2, 11, 28, 15, 6, 37]","[4, 3, 10, 17, 12, 7, 25]","[3, 4, 10, 24, 14, 7, 25]","[3, 1, 13, 22, 28, 4, 11]","[3, 0, 14, 21, 24, 3, 9]","[9, 0, 8, 53, 14, 9, 52]","[5, 0, 12, 32, 20, 5, 29]","[6, 2, 9, 24, 12, 8, 26]","[2, 2, 13, 22, 28, 4, 11]","[8, 1, 8, 40, 13, 9, 41]","[5, 1, 11, 38, 18, 6, 27]","[10, 0, 7, 45, 11, 10, 55]","[3, 1, 13, 20, 29, 4, 15]","[5, 1, 11, 23, 19, 6, 30]","[3, 2, 12, 30, 17, 5, 17]","[6, 2, 9, 37, 11, 8, 33]","[4, 1, 12, 26, 26, 5, 18]","[4, 2, 11, 14, 20, 6, 20]","[2, 3, 12, 10, 20, 5, 16]"
18,"[9, 1, 8, 44, 15, 10, 38]","[5, 2, 11, 29, 15, 7, 37]","[4, 4, 10, 17, 12, 8, 25]","[3, 4, 11, 26, 17, 7, 25]","[3, 1, 14, 24, 30, 4, 11]","[3, 0, 15, 21, 28, 3, 9]","[10, 0, 8, 60, 14, 10, 52]","[5, 0, 13, 34, 21, 5, 29]","[6, 2, 10, 27, 14, 8, 26]","[2, 2, 14, 22, 29, 4, 11]","[9, 1, 8, 43, 13, 10, 41]","[5, 1, 12, 41, 19, 6, 27]","[10, 0, 8, 48, 12, 10, 55]","[3, 1, 14, 21, 31, 4, 15]","[5, 1, 12, 24, 21, 6, 30]","[3, 2, 13, 32, 18, 5, 17]","[6, 2, 10, 39, 12, 8, 33]","[4, 1, 13, 29, 28, 5, 18]","[4, 2, 12, 17, 22, 6, 20]","[2, 3, 13, 11, 21, 5, 16]"
19,"[10, 1, 8, 48, 15, 11, 38]","[5, 2, 12, 29, 16, 7, 37]","[4, 4, 11, 19, 13, 8, 25]","[3, 4, 12, 28, 18, 7, 25]","[3, 1, 15, 26, 31, 4, 11]","[3, 0, 16, 25, 30, 3, 9]","[11, 0, 8, 68, 14, 11, 52]","[6, 0, 13, 35, 21, 6, 29]","[6, 2, 11, 27, 15, 8, 26]","[2, 3, 14, 22, 29, 5, 11]","[9, 1, 9, 43, 15, 10, 41]","[5, 1, 13, 41, 20, 6, 27]","[11, 0, 8, 52, 12, 11, 55]","[3, 1, 15, 24, 32, 4, 15]","[5, 2, 12, 24, 21, 7, 30]","[3, 2, 14, 32, 19, 5, 17]","[7, 2, 10, 40, 12, 9, 33]","[4, 1, 14, 30, 29, 5, 18]","[4, 2, 13, 19, 24, 6, 20]","[2, 3, 14, 13, 22, 5, 16]"
20,"[10, 1, 9, 21, 49, 11, 38]","[5, 2, 13, 19, 30, 7, 37]","[4, 4, 12, 13, 20, 8, 25]","[3, 4, 13, 19, 30, 7, 25]","[3, 1, 16, 31, 27, 4, 11]","[3, 0, 17, 30, 27, 3, 9]","[11, 0, 9, 17, 69, 11, 52]","[6, 0, 14, 21, 36, 6, 29]","[7, 2, 11, 16, 27, 9, 26]","[2, 3, 15, 30, 24, 5, 11]","[9, 1, 10, 16, 45, 10, 41]","[6, 1, 13, 22, 41, 7, 27]","[11, 0, 9, 12, 53, 11, 55]","[3, 1, 16, 32, 25, 4, 15]","[5, 2, 13, 21, 28, 7, 30]","[4, 2, 14, 20, 32, 6, 17]","[7, 2, 11, 17, 41, 9, 33]","[5, 1, 14, 31, 30, 6, 18]","[5, 2, 13, 26, 19, 7, 20]","[3, 3, 14, 23, 13, 6, 16]"
21,"[10, 1, 10, 50, 23, 11, 38]","[6, 2, 13, 31, 19, 8, 37]","[4, 4, 13, 21, 15, 8, 25]","[3, 4, 14, 30, 22, 7, 25]","[3, 1, 17, 30, 33, 4, 11]","[3, 0, 18, 27, 33, 3, 9]","[12, 0, 9, 71, 17, 12, 52]","[6, 0, 15, 37, 23, 6, 29]","[7, 2, 12, 27, 18, 9, 26]","[2, 3, 16, 25, 31, 5, 11]","[9, 1, 11, 48, 18, 10, 41]","[7, 1, 13, 42, 22, 8, 27]","[12, 0, 9, 58, 12, 12, 55]","[3, 1, 17, 26, 36, 4, 15]","[5, 3, 13, 28, 21, 8, 30]","[4, 2, 15, 32, 21, 6, 17]","[7, 2, 12, 43, 18, 9, 33]","[5, 2, 14, 30, 31, 7, 18]","[5, 2, 14, 20, 28, 7, 20]","[3, 3, 15, 13, 24, 6, 16]"
22,"[10, 1, 11, 25, 54, 11, 38]","[6, 2, 14, 20, 33, 8, 37]","[5, 4, 13, 16, 21, 9, 25]","[3, 4, 15, 24, 36, 7, 25]","[3, 1, 18, 35, 31, 4, 11]","[3, 0, 19, 33, 31, 3, 9]","[12, 0, 10, 19, 72, 12, 52]","[7, 0, 15, 24, 37, 7, 29]","[7, 2, 13, 19, 29, 9, 26]","[2, 3, 17, 32, 29, 5, 11]","[9, 1, 12, 21, 50, 10, 41]","[7, 1, 14, 25, 46, 8, 27]","[12, 0, 10, 15, 59, 12, 55]","[3, 1, 18, 36, 28, 4, 15]","[5, 3, 14, 22, 29, 8, 30]","[4, 2, 16, 22, 35, 6, 17]","[7, 2, 13, 18, 46, 9, 33]","[5, 2, 15, 31, 31, 7, 18]","[5, 2, 15, 28, 24, 7, 20]","[3, 3, 16, 25, 16, 6, 16]"
23,"[11, 1, 11, 55, 25, 12, 38]","[6, 2, 15, 34, 21, 8, 37]","[5, 4, 14, 22, 18, 9, 25]","[3, 4, 16, 36, 29, 7, 25]","[3, 1, 19, 32, 37, 4, 11]","[3, 0, 20, 31, 38, 3, 9]","[12, 0, 11, 73, 22, 12, 52]","[7, 0, 16, 39, 27, 7, 29]","[7, 2, 14, 31, 21, 9, 26]","[2, 3, 18, 30, 38, 5, 11]","[9, 1, 13, 50, 23, 10, 41]","[7, 1, 15, 47, 26, 8, 27]","[13, 0, 10, 61, 15, 13, 55]","[4, 1, 18, 29, 36, 5, 15]","[5, 3, 15, 30, 23, 8, 30]","[4, 2, 17, 37, 24, 6, 17]","[7, 2, 14, 48, 20, 9, 33]","[5, 2, 16, 32, 34, 7, 18]","[5, 2, 16, 25, 30, 7, 20]","[3, 3, 17, 18, 30, 6, 16]"
24,"[11, 1, 12, 27, 57, 12, 38]","[6, 2, 16, 22, 35, 8, 37]","[5, 4, 15, 19, 25, 9, 25]","[3, 4, 17, 29, 38, 7, 25]","[3, 1, 20, 38, 37, 4, 11]","[3, 0, 21, 40, 34, 3, 9]","[12, 0, 12, 23, 75, 12, 52]","[7, 0, 17, 29, 40, 7, 29]","[7, 2, 15, 23, 33, 9, 26]","[2, 3, 19, 38, 32, 5, 11]","[9, 1, 14, 23, 51, 10, 41]","[7, 1, 16, 27, 48, 8, 27]","[13, 0, 11, 15, 63, 13, 55]","[4, 2, 18, 36, 29, 6, 15]","[6, 3, 15, 24, 30, 9, 30]","[4, 2, 18, 25, 39, 6, 17]","[7, 2, 15, 22, 49, 9, 33]","[5, 2, 17, 35, 34, 7, 18]","[5, 2, 17, 33, 26, 7, 20]","[3, 3, 18, 31, 19, 6, 16]"
25,"[11, 1, 13, 61, 28, 12, 38]","[6, 2, 17, 36, 24, 8, 37]","[5, 4, 16, 27, 21, 9, 25]","[4, 4, 17, 40, 29, 8, 25]","[3, 1, 21, 38, 39, 4, 11]","[3, 0, 22, 37, 43, 3, 9]","[13, 0, 12, 79, 23, 13, 52]","[7, 0, 18, 40, 32, 7, 29]","[7, 2, 16, 34, 24, 9, 26]","[2, 3, 20, 32, 40, 5, 11]","[9, 1, 15, 52, 26, 10, 41]","[7, 2, 16, 48, 27, 9, 27]","[13, 0, 12, 63, 16, 13, 55]","[4, 2, 19, 30, 39, 6, 15]","[6, 3, 16, 31, 26, 9, 30]","[4, 2, 19, 39, 27, 6, 17]","[7, 2, 16, 49, 25, 9, 33]","[5, 2, 18, 36, 37, 7, 18]","[5, 2, 18, 26, 37, 7, 20]","[3, 3, 19, 21, 33, 6, 16]"
26,"[11, 1, 14, 28, 62, 12, 38]","[6, 2, 18, 25, 37, 8, 37]","[6, 4, 16, 22, 27, 10, 25]","[4, 4, 18, 29, 43, 8, 25]","[3, 1, 22, 40, 40, 4, 11]","[3, 0, 23, 46, 42, 3, 9]","[14, 0, 12, 26, 79, 14, 52]","[7, 0, 19, 34, 43, 7, 29]","[7, 2, 17, 24, 35, 9, 26]","[2, 3, 21, 41, 33, 5, 11]","[10, 1, 15, 28, 52, 11, 41]","[7, 2, 17, 29, 50, 9, 27]","[13, 0, 13, 20, 64, 13, 55]","[4, 2, 20, 39, 31, 6, 15]","[6, 4, 16, 26, 31, 10, 30]","[4, 2, 20, 27, 40, 6, 17]","[7, 2, 17, 26, 50, 9, 33]","[5, 2, 19, 40, 39, 7, 18]","[5, 2, 19, 38, 35, 7, 20]","[3, 3, 20, 33, 25, 6, 16]"
