,Arsenal,Aston Villa,Birmingham,Blackburn,Blackpool,Bolton,Chelsea,Everton,Fulham,Liverpool,Man City,Man United,Newcastle,Stoke,Sunderland,Tottenham,West Brom,West Ham,Wigan,Wolves
14,"[5, 1, 8, 30, 12, 6, 33]","[3, 2, 9, 22, 16, 5, 17]","[3, 2, 9, 13, 15, 5, 19]","[4, 2, 8, 17, 11, 6, 18]","[0, 0, 14, 23, 27, 0, 14]","[3, 1, 10, 25, 17, 4, 13]","[9, 0, 5, 28, 9, 9, 41]","[3, 1, 10, 22, 19, 4, 23]","[4, 3, 7, 17, 14, 7, 32]","[6, 0, 8, 23, 11, 6, 40]","[6, 2, 6, 22, 11, 8, 46]","[7, 0, 7, 39, 9, 7, 37]","[2, 1, 11, 31, 20, 3, 21]","[4, 0, 10, 20, 15, 4, 25]","[6, 1, 7, 18, 14, 7, 31]","[2, 3, 9, 19, 10, 5, 16]","[1, 0, 13, 22, 23, 1, 6]","[2, 1, 11, 17, 21, 3, 11]","[2, 0, 12, 16, 26, 2, 15]","[3, 0, 11, 21, 19, 3, 15]"
15,"[5, 2, 8, 30, 12, 7, 33]","[3, 2, 10, 22, 17, 5, 17]","[3, 2, 10, 14, 18, 5, 19]","[4, 2, 9, 19, 13, 6, 18]","[0, 0, 15, 24, 30, 0, 14]","[3, 1, 11, 28, 19, 4, 13]","[10, 0, 5, 29, 9, 10, 41]","[3, 1, 11, 24, 20, 4, 23]","[4, 3, 8, 20, 16, 7, 32]","[6, 0, 9, 26, 12, 6, 40]","[7, 2, 6, 23, 11, 9, 46]","[8, 0, 7, 40, 9, 8, 37]","[2, 1, 12, 32, 22, 3, 21]","[5, 0, 10, 24, 15, 5, 25]","[6, 1, 8, 18, 16, 7, 31]","[2, 3, 10, 22, 12, 5, 16]","[1, 0, 14, 24, 25, 1, 6]","[3, 1, 11, 20, 21, 4, 11]","[2, 0, 13, 16, 30, 2, 15]","[3, 0, 12, 24, 22, 3, 15]"
16,"[5, 3, 8, 30, 12, 8, 33]","[4, 2, 10, 23, 17, 6, 17]","[3, 2, 11, 16, 19, 5, 19]","[4, 2, 10, 20, 14, 6, 18]","[0, 0, 16, 25, 33, 0, 14]","[4, 1, 11, 31, 19, 5, 13]","[10, 0, 6, 32, 10, 10, 41]","[3, 1, 12, 26, 22, 4, 23]","[5, 3, 8, 23, 16, 8, 32]","[7, 0, 9, 29, 12, 7, 40]","[8, 2, 6, 28, 11, 10, 46]","[9, 0, 7, 42, 9, 9, 37]","[2, 1, 13, 36, 23, 3, 21]","[5, 0, 11, 25, 16, 5, 25]","[6, 1, 9, 20, 19, 7, 31]","[2, 3, 11, 25, 15, 5, 16]","[1, 0, 15, 26, 26, 1, 6]","[3, 1, 12, 22, 25, 4, 11]","[2, 0, 14, 18, 31, 2, 15]","[3, 0, 13, 24, 25, 3, 15]"
17,"[5, 3, 9, 31, 13, 8, 33]","[4, 2, 11, 24, 18, 6, 17]","[4, 2, 11, 18, 19, 6, 19]","[4, 2, 11, 20, 15, 6, 18]","[0, 0, 17, 26, 34, 0, 14]","[4, 1, 12, 33, 20, 5, 13]","[11, 0, 6, 35, 10, 11, 41]","[4, 1, 12, 28, 22, 5, 23]","[6, 3, 8, 26, 16, 9, 32]","[8, 0, 9, 34, 12, 8, 40]","[8, 2, 7, 30, 12, 10, 46]","[10, 0, 7, 43, 9, 10, 37]","[2, 2, 13, 36, 23, 4, 21]","[6, 0, 11, 28, 16, 6, 25]","[6, 1, 10, 24, 21, 7, 31]","[2, 3, 12, 27, 17, 5, 16]","[1, 0, 16, 27, 29, 1, 6]","[3, 1, 13, 23, 27, 4, 11]","[2, 1, 14, 18, 31, 3, 15]","[3, 0, 14, 25, 26, 3, 15]"
18,"[6, 3, 9, 32, 13, 9, 33]","[4, 2, 12, 25, 19, 6, 17]","[4, 2, 12, 19, 20, 6, 19]","[5, 2, 11, 21, 15, 7, 18]","[0, 1, 17, 26, 34, 1, 14]","[4, 1, 13, 34, 22, 5, 13]","[11, 0, 7, 37, 11, 11, 41]","[4, 1, 13, 30, 23, 5, 23]","[6, 3, 9, 28, 21, 9, 32]","[9, 0, 9, 37, 12, 9, 40]","[9, 2, 7, 31, 12, 11, 46]","[10, 0, 8, 45, 10, 10, 37]","[2, 2, 14, 38, 24, 4, 21]","[6, 0, 12, 31, 17, 6, 25]","[6, 1, 11, 24, 24, 7, 31]","[2, 3, 13, 28, 18, 5, 16]","[1, 0, 17, 29, 30, 1, 6]","[3, 1, 14, 24, 28, 4, 11]","[2, 1, 15, 19, 32, 3, 15]","[3, 0, 15, 28, 27, 3, 15]"
19,"[6, 3, 10, 33, 15, 9, 33]","[5, 2, 12, 26, 19, 7, 17]","[4, 2, 13, 19, 22, 6, 19]","[5, 2, 12, 22, 16, 7, 18]","[0, 1, 18, 30, 37, 1, 14]","[4, 1, 14, 34, 24, 5, 13]","[11, 0, 8, 39, 13, 11, 41]","[5, 1, 13, 31, 23, 6, 23]","[6, 3, 10, 30, 23, 9, 32]","[9, 0, 10, 37, 14, 9, 40]","[10, 2, 7, 34, 12, 12, 46]","[10, 0, 9, 49, 12, 10, 37]","[2, 2, 15, 41, 27, 4, 21]","[6, 0, 13, 31, 18, 6, 25]","[6, 1, 12, 25, 27, 7, 31]","[2, 3, 14, 30, 19, 5, 16]","[2, 0, 17, 30, 30, 2, 6]","[3, 1, 15, 24, 31, 4, 11]","[2, 1, 16, 22, 34, 3, 15]","[3, 0, 16, 30, 30, 3, 15]"
20,"[6, 3, 11, 16, 34, 9, 33]","[5, 2, 13, 19, 32, 7, 17]","[4, 2, 14, 24, 21, 6, 19]","[5, 2, 13, 17, 24, 7, 18]","[1, 1, 18, 41, 30, 2, 14]","[4, 1, 15, 27, 35, 5, 13]","[12, 0, 8, 19, 39, 12, 41]","[5, 1, 14, 23, 32, 6, 23]","[6, 4, 10, 23, 30, 10, 32]","[9, 0, 11, 14, 40, 9, 40]","[10, 3, 7, 12, 34, 13, 46]","[10, 0, 10, 14, 51, 10, 37]","[2, 2, 16, 27, 44, 4, 21]","[6, 0, 14, 19, 33, 6, 25]","[6, 1, 13, 27, 26, 7, 31]","[2, 3, 15, 21, 31, 5, 16]","[2, 0, 18, 30, 36, 2, 6]","[3, 1, 16, 31, 27, 4, 11]","[3, 1, 16, 35, 22, 4, 15]","[3, 0, 17, 31, 31, 3, 15]"
21,"[6, 3, 12, 36, 17, 9, 33]","[5, 2, 14, 33, 21, 7, 17]","[4, 2, 15, 23, 26, 6, 19]","[5, 2, 14, 25, 18, 7, 18]","[1, 1, 19, 30, 47, 2, 14]","[4, 1, 16, 36, 31, 5, 13]","[12, 0, 9, 42, 20, 12, 41]","[5, 1, 15, 32, 24, 6, 23]","[6, 4, 11, 32, 25, 10, 32]","[9, 1, 11, 40, 14, 10, 40]","[10, 3, 8, 34, 13, 13, 46]","[10, 0, 11, 54, 17, 10, 37]","[2, 2, 17, 45, 28, 4, 21]","[6, 0, 15, 33, 21, 6, 25]","[6, 1, 14, 27, 28, 7, 31]","[2, 3, 16, 32, 22, 5, 16]","[2, 0, 19, 36, 31, 2, 6]","[3, 1, 17, 27, 34, 4, 11]","[3, 2, 16, 22, 35, 5, 15]","[3, 0, 18, 32, 33, 3, 15]"
22,"[6, 3, 13, 18, 37, 9, 33]","[5, 2, 15, 23, 34, 7, 17]","[4, 2, 16, 27, 26, 6, 19]","[5, 2, 15, 20, 26, 7, 18]","[2, 1, 19, 49, 30, 3, 14]","[4, 1, 17, 32, 37, 5, 13]","[12, 0, 10, 20, 43, 12, 41]","[5, 2, 15, 24, 32, 7, 23]","[6, 4, 12, 26, 33, 10, 32]","[9, 1, 12, 16, 43, 10, 40]","[11, 3, 8, 15, 34, 14, 46]","[10, 0, 12, 19, 56, 10, 37]","[3, 2, 17, 29, 45, 5, 21]","[6, 0, 16, 23, 34, 6, 25]","[6, 1, 15, 30, 29, 7, 31]","[2, 3, 17, 22, 33, 5, 16]","[2, 0, 20, 34, 38, 2, 6]","[3, 1, 18, 35, 28, 4, 11]","[3, 2, 17, 37, 24, 5, 15]","[3, 0, 19, 34, 35, 3, 15]"
23,"[6, 3, 14, 37, 20, 9, 33]","[5, 2, 16, 35, 25, 7, 17]","[4, 2, 17, 27, 29, 6, 19]","[5, 2, 16, 26, 21, 7, 18]","[2, 1, 20, 30, 53, 3, 14]","[4, 1, 18, 38, 33, 5, 13]","[12, 1, 10, 43, 20, 13, 41]","[6, 2, 15, 34, 24, 8, 23]","[6, 4, 13, 34, 27, 10, 32]","[9, 1, 13, 43, 18, 10, 40]","[11, 3, 9, 37, 17, 14, 46]","[10, 1, 12, 56, 19, 11, 37]","[3, 2, 18, 46, 31, 5, 21]","[6, 0, 17, 35, 25, 6, 25]","[6, 2, 15, 29, 30, 8, 31]","[2, 3, 18, 35, 23, 5, 16]","[2, 0, 21, 40, 36, 2, 6]","[3, 1, 19, 29, 36, 4, 11]","[3, 2, 18, 24, 39, 5, 15]","[3, 0, 20, 35, 36, 3, 15]"
