,Arsenal,Aston Villa,Blackburn,Bolton,Chelsea,Everton,Fulham,Liverpool,Man City,Man United,Newcastle,Norwich,QPR,Stoke,Sunderland,Swansea,Tottenham,West Brom,Wigan,Wolves
14,"[5, 0, 9, 31, 12, 5, 33]","[2, 1, 11, 15, 17, 3, 13]","[0, 0, 14, 20, 27, 0, 9]","[1, 1, 12, 17, 28, 2, 7]","[4, 0, 10, 31, 19, 4, 22]","[4, 0, 10, 15, 13, 4, 34]","[4, 1, 9, 29, 19, 5, 27]","[2, 3, 9, 18, 10, 5, 28]","[9, 0, 5, 42, 6, 9, 49]","[7, 0, 7, 39, 15, 7, 60]","[3, 2, 9, 21, 15, 5, 39]","[1, 1, 12, 21, 18, 2, 7]","[1, 1, 12, 14, 22, 2, 19]","[4, 2, 8, 18, 14, 6, 21]","[5, 1, 8, 21, 13, 6, 26]","[4, 3, 7, 19, 10, 7, 32]","[7, 0, 7, 30, 13, 7, 36]","[3, 2, 9, 14, 16, 5, 24]","[1, 2, 11, 11, 24, 3, 18]","[1, 0, 13, 17, 30, 1, 6]"
15,"[6, 0, 9, 34, 12, 6, 33]","[2, 1, 12, 17, 21, 3, 13]","[1, 0, 14, 22, 27, 1, 9]","[1, 1, 13, 19, 29, 2, 7]","[4, 1, 10, 31, 19, 5, 22]","[4, 0, 11, 15, 14, 4, 34]","[4, 1, 10, 29, 22, 5, 27]","[2, 3, 10, 19, 12, 5, 28]","[9, 0, 6, 44, 7, 9, 49]","[8, 0, 7, 40, 15, 8, 60]","[4, 2, 9, 22, 15, 6, 39]","[1, 1, 13, 23, 19, 2, 7]","[1, 1, 13, 17, 24, 2, 19]","[4, 2, 9, 19, 15, 6, 21]","[5, 1, 9, 24, 14, 6, 26]","[4, 3, 8, 19, 12, 7, 32]","[7, 0, 8, 31, 14, 7, 36]","[3, 2, 10, 15, 19, 5, 24]","[1, 2, 12, 12, 25, 3, 18]","[1, 0, 14, 17, 35, 1, 6]"
16,"[7, 0, 9, 35, 12, 7, 33]","[2, 1, 13, 18, 22, 3, 13]","[1, 0, 15, 22, 29, 1, 9]","[1, 1, 14, 19, 32, 2, 7]","[4, 1, 11, 33, 20, 5, 22]","[5, 0, 11, 17, 14, 5, 34]","[4, 1, 11, 31, 23, 5, 27]","[2, 3, 11, 20, 13, 5, 28]","[9, 0, 7, 47, 10, 9, 49]","[9, 0, 7, 42, 15, 9, 60]","[5, 2, 9, 24, 15, 7, 39]","[1, 1, 14, 25, 21, 2, 7]","[1, 1, 14, 19, 25, 2, 19]","[4, 2, 10, 21, 16, 6, 21]","[5, 2, 9, 24, 14, 7, 26]","[4, 3, 9, 19, 14, 7, 32]","[7, 0, 9, 34, 15, 7, 36]","[4, 2, 10, 18, 19, 6, 24]","[2, 2, 12, 14, 25, 4, 18]","[1, 0, 15, 19, 38, 1, 6]"
17,"[7, 0, 10, 36, 14, 7, 33]","[2, 2, 13, 18, 22, 4, 13]","[1, 0, 16, 24, 32, 1, 9]","[1, 1, 15, 20, 33, 2, 7]","[4, 1, 12, 39, 21, 5, 22]","[6, 0, 11, 21, 14, 6, 34]","[4, 1, 12, 32, 24, 5, 27]","[2, 3, 12, 20, 14, 5, 28]","[10, 0, 7, 51, 10, 10, 49]","[10, 0, 7, 46, 15, 10, 60]","[6, 2, 9, 26, 15, 8, 39]","[1, 1, 15, 26, 27, 2, 7]","[2, 1, 14, 22, 25, 3, 19]","[4, 2, 11, 22, 17, 6, 21]","[5, 3, 9, 24, 14, 8, 26]","[5, 3, 9, 22, 14, 8, 32]","[7, 0, 10, 35, 17, 7, 36]","[5, 2, 10, 19, 19, 7, 24]","[3, 2, 12, 15, 25, 5, 18]","[1, 0, 16, 19, 41, 1, 6]"
18,"[7, 1, 10, 36, 14, 8, 33]","[2, 2, 14, 19, 24, 4, 13]","[2, 0, 16, 26, 32, 2, 9]","[1, 1, 16, 21, 37, 2, 7]","[4, 1, 13, 39, 23, 5, 22]","[7, 0, 11, 25, 14, 7, 34]","[4, 1, 13, 34, 25, 5, 27]","[2, 3, 13, 20, 15, 5, 28]","[11, 0, 7, 52, 10, 11, 49]","[10, 0, 8, 50, 19, 10, 60]","[7, 2, 9, 29, 15, 9, 39]","[1, 1, 16, 26, 30, 2, 7]","[3, 1, 14, 23, 25, 4, 19]","[4, 2, 12, 23, 18, 6, 21]","[5, 3, 10, 26, 16, 8, 26]","[5, 3, 10, 26, 18, 8, 32]","[8, 0, 10, 37, 17, 8, 36]","[5, 3, 10, 19, 19, 8, 24]","[4, 2, 12, 19, 25, 6, 18]","[1, 0, 17, 19, 43, 1, 6]"
19,"[7, 1, 11, 39, 17, 8, 33]","[2, 2, 15, 20, 25, 4, 13]","[2, 0, 17, 26, 33, 2, 9]","[1, 1, 17, 23, 39, 2, 7]","[4, 1, 14, 41, 24, 5, 22]","[7, 0, 12, 28, 15, 7, 34]","[4, 1, 14, 36, 26, 5, 27]","[2, 3, 14, 24, 16, 5, 28]","[11, 0, 8, 55, 12, 11, 49]","[11, 0, 8, 52, 19, 11, 60]","[7, 2, 10, 29, 17, 9, 39]","[2, 1, 16, 28, 30, 3, 7]","[4, 1, 14, 24, 25, 5, 19]","[4, 2, 13, 25, 20, 6, 21]","[5, 3, 11, 26, 17, 8, 26]","[6, 3, 10, 27, 18, 9, 32]","[9, 0, 10, 39, 17, 9, 36]","[5, 3, 11, 21, 22, 8, 24]","[4, 2, 13, 22, 27, 6, 18]","[1, 1, 17, 19, 43, 2, 6]"
20,"[7, 2, 11, 17, 39, 9, 33]","[2, 3, 15, 25, 20, 5, 13]","[2, 0, 18, 34, 29, 2, 9]","[2, 1, 17, 43, 23, 3, 7]","[4, 2, 14, 24, 41, 6, 22]","[8, 0, 12, 16, 28, 8, 34]","[4, 1, 15, 26, 38, 5, 27]","[3, 3, 14, 18, 24, 6, 28]","[11, 0, 9, 15, 57, 11, 49]","[11, 0, 9, 21, 53, 11, 60]","[8, 2, 10, 18, 29, 10, 39]","[2, 1, 17, 31, 29, 3, 7]","[5, 1, 14, 26, 24, 6, 19]","[4, 2, 14, 21, 26, 6, 21]","[5, 3, 12, 18, 27, 8, 26]","[6, 3, 11, 18, 31, 9, 32]","[9, 0, 11, 17, 42, 9, 36]","[5, 3, 12, 23, 23, 8, 24]","[4, 3, 13, 27, 22, 7, 18]","[1, 1, 18, 45, 20, 2, 6]"
21,"[7, 2, 12, 41, 25, 9, 33]","[2, 3, 16, 22, 27, 5, 13]","[2, 0, 19, 30, 35, 2, 9]","[2, 1, 18, 24, 46, 3, 7]","[4, 2, 15, 43, 25, 6, 22]","[8, 0, 13, 28, 18, 8, 34]","[4, 1, 16, 39, 28, 5, 27]","[3, 3, 15, 24, 19, 6, 28]","[11, 0, 10, 62, 16, 11, 49]","[12, 0, 9, 58, 21, 12, 60]","[8, 3, 10, 29, 18, 11, 39]","[2, 1, 18, 30, 34, 3, 7]","[5, 1, 15, 24, 28, 6, 19]","[5, 2, 14, 27, 21, 7, 21]","[5, 4, 12, 27, 18, 9, 26]","[6, 3, 12, 31, 19, 9, 32]","[10, 0, 11, 44, 17, 10, 36]","[6, 3, 12, 24, 23, 9, 24]","[4, 3, 14, 22, 30, 7, 18]","[1, 2, 18, 20, 45, 3, 6]"
22,"[7, 2, 13, 28, 45, 9, 33]","[2, 3, 17, 28, 23, 5, 13]","[2, 0, 20, 36, 33, 2, 9]","[2, 1, 19, 46, 27, 3, 7]","[4, 2, 16, 26, 46, 6, 22]","[8, 0, 14, 19, 31, 8, 34]","[4, 2, 16, 28, 39, 6, 27]","[3, 3, 16, 19, 28, 6, 28]","[11, 0, 11, 18, 64, 11, 49]","[12, 0, 10, 22, 59, 12, 60]","[8, 3, 11, 19, 30, 11, 39]","[2, 1, 19, 36, 31, 3, 7]","[6, 1, 15, 31, 24, 7, 19]","[5, 2, 15, 21, 31, 7, 21]","[5, 4, 13, 19, 29, 9, 26]","[6, 3, 13, 20, 35, 9, 32]","[10, 0, 12, 19, 45, 10, 36]","[6, 3, 13, 23, 27, 9, 24]","[4, 3, 15, 31, 25, 7, 18]","[1, 2, 19, 46, 22, 3, 6]"
23,"[7, 2, 14, 46, 30, 9, 33]","[2, 3, 18, 24, 32, 5, 13]","[2, 0, 21, 34, 37, 2, 9]","[2, 1, 20, 30, 47, 3, 7]","[4, 2, 17, 51, 27, 6, 22]","[8, 0, 15, 34, 20, 8, 34]","[4, 2, 17, 39, 30, 6, 27]","[4, 3, 16, 30, 19, 7, 28]","[12, 0, 11, 68, 18, 12, 49]","[12, 0, 11, 60, 23, 12, 60]","[8, 3, 12, 32, 20, 11, 39]","[2, 1, 20, 31, 38, 3, 7]","[6, 1, 16, 24, 37, 7, 19]","[5, 2, 16, 31, 23, 7, 21]","[5, 4, 14, 30, 21, 9, 26]","[6, 3, 14, 36, 23, 9, 32]","[10, 0, 13, 47, 21, 10, 36]","[6, 3, 14, 29, 25, 9, 24]","[4, 3, 16, 25, 33, 7, 18]","[1, 2, 20, 22, 48, 3, 6]"
