,Arsenal,Aston Villa,Chelsea,Everton,Fulham,Liverpool,Man City,Man United,Newcastle,Norwich,QPR,Reading,Southampton,Stoke,Sunderland,Swansea,Tottenham,West Brom,West Ham,Wigan
14,"[3, 1, 10, 35, 19, 4, 34]","[2, 2, 10, 11, 20, 4, 11]","[4, 2, 8, 31, 12, 6, 36]","[1, 1, 12, 25, 17, 2, 25]","[4, 0, 10, 22, 17, 4, 20]","[7, 1, 6, 27, 12, 8, 38]","[7, 0, 7, 31, 11, 7, 46]","[5, 0, 9, 38, 15, 5, 39]","[3, 0, 11, 21, 20, 3, 14]","[3, 3, 8, 16, 15, 6, 18]","[0, 4, 10, 8, 21, 4, 9]","[1, 2, 11, 22, 27, 3, 7]","[2, 1, 11, 19, 17, 3, 15]","[3, 2, 9, 18, 15, 5, 24]","[4, 2, 8, 16, 15, 6, 25]","[2, 1, 11, 27, 19, 3, 18]","[2, 1, 11, 22, 14, 3, 23]","[4, 1, 9, 21, 13, 5, 20]","[3, 1, 10, 23, 17, 4, 23]","[0, 0, 14, 17, 31, 0, 15]"
15,"[3, 1, 11, 39, 20, 4, 34]","[2, 2, 11, 14, 22, 4, 11]","[5, 2, 8, 33, 12, 7, 36]","[2, 1, 12, 27, 17, 3, 25]","[4, 0, 11, 25, 19, 4, 20]","[7, 1, 7, 30, 14, 8, 38]","[8, 0, 7, 35, 11, 8, 46]","[6, 0, 9, 39, 15, 6, 39]","[3, 0, 12, 23, 21, 3, 14]","[3, 4, 8, 16, 15, 7, 18]","[0, 4, 11, 11, 22, 4, 9]","[1, 2, 12, 23, 29, 3, 7]","[2, 1, 12, 22, 18, 3, 15]","[3, 3, 9, 18, 15, 6, 24]","[4, 2, 9, 17, 16, 6, 25]","[2, 1, 12, 27, 21, 3, 18]","[2, 1, 12, 22, 15, 3, 23]","[4, 1, 10, 23, 14, 5, 20]","[3, 1, 11, 26, 18, 4, 23]","[0, 0, 15, 19, 32, 0, 15]"
16,"[3, 1, 12, 42, 21, 4, 34]","[2, 2, 12, 15, 24, 4, 11]","[5, 2, 9, 35, 13, 7, 36]","[3, 1, 12, 28, 17, 4, 25]","[4, 0, 12, 25, 22, 4, 20]","[7, 2, 7, 30, 14, 9, 38]","[9, 0, 7, 36, 11, 9, 46]","[6, 0, 10, 40, 17, 6, 39]","[4, 0, 12, 24, 21, 4, 14]","[3, 4, 9, 18, 17, 7, 18]","[0, 4, 12, 12, 23, 4, 9]","[1, 2, 13, 23, 31, 3, 7]","[2, 1, 13, 24, 19, 3, 15]","[3, 3, 10, 19, 18, 6, 24]","[4, 2, 10, 17, 17, 6, 25]","[2, 1, 13, 28, 23, 3, 18]","[2, 1, 13, 24, 17, 3, 23]","[4, 1, 11, 24, 16, 5, 20]","[3, 1, 12, 28, 20, 4, 23]","[1, 0, 15, 20, 32, 1, 15]"
17,"[3, 2, 12, 42, 21, 5, 34]","[2, 2, 13, 16, 25, 4, 11]","[6, 2, 9, 37, 13, 8, 36]","[4, 1, 12, 30, 17, 5, 25]","[4, 0, 13, 25, 23, 4, 20]","[7, 2, 8, 32, 16, 9, 38]","[9, 0, 8, 38, 12, 9, 46]","[7, 0, 10, 43, 17, 7, 39]","[4, 0, 13, 24, 24, 4, 14]","[3, 4, 10, 20, 18, 7, 18]","[0, 4, 13, 12, 25, 4, 9]","[1, 3, 13, 23, 31, 4, 7]","[2, 1, 14, 25, 20, 3, 15]","[3, 3, 11, 19, 20, 6, 24]","[5, 2, 10, 18, 17, 7, 25]","[2, 2, 13, 28, 23, 4, 18]","[2, 1, 14, 27, 18, 3, 23]","[4, 1, 12, 25, 17, 5, 20]","[4, 1, 12, 30, 20, 5, 23]","[1, 0, 16, 22, 34, 1, 15]"
18,"[3, 2, 13, 43, 22, 5, 34]","[2, 2, 14, 22, 26, 4, 11]","[6, 2, 10, 39, 15, 8, 36]","[5, 1, 12, 31, 17, 6, 25]","[4, 0, 14, 27, 27, 4, 20]","[7, 3, 8, 32, 16, 10, 38]","[10, 0, 8, 39, 12, 10, 46]","[7, 0, 11, 43, 18, 7, 39]","[4, 0, 14, 24, 30, 4, 14]","[3, 4, 11, 21, 20, 7, 18]","[0, 4, 14, 12, 26, 4, 9]","[1, 4, 13, 23, 31, 5, 7]","[2, 1, 15, 25, 23, 3, 15]","[4, 3, 11, 20, 20, 7, 24]","[5, 2, 11, 19, 18, 7, 25]","[2, 3, 13, 28, 23, 5, 18]","[3, 1, 14, 28, 18, 4, 23]","[4, 1, 13, 27, 20, 5, 20]","[4, 2, 12, 30, 20, 6, 23]","[1, 0, 17, 24, 37, 1, 15]"
19,"[3, 2, 14, 47, 23, 5, 34]","[2, 2, 15, 23, 28, 4, 11]","[6, 2, 11, 41, 16, 8, 36]","[6, 1, 12, 33, 17, 7, 25]","[4, 0, 15, 28, 30, 4, 20]","[8, 3, 8, 33, 16, 11, 38]","[10, 0, 9, 41, 15, 10, 46]","[7, 0, 12, 45, 19, 7, 39]","[4, 0, 15, 24, 31, 4, 14]","[4, 4, 11, 25, 20, 8, 18]","[0, 4, 15, 13, 28, 4, 9]","[1, 4, 14, 23, 33, 5, 7]","[2, 1, 16, 26, 24, 3, 15]","[4, 3, 12, 21, 22, 7, 24]","[5, 2, 12, 20, 19, 7, 25]","[2, 3, 14, 28, 26, 5, 18]","[4, 1, 14, 29, 18, 5, 23]","[4, 1, 14, 32, 25, 5, 20]","[4, 2, 13, 34, 22, 6, 23]","[1, 0, 18, 26, 39, 1, 15]"
20,"[3, 3, 14, 23, 47, 6, 34]","[2, 2, 16, 28, 24, 4, 11]","[7, 2, 11, 18, 41, 9, 36]","[6, 1, 13, 20, 34, 7, 25]","[4, 0, 16, 32, 31, 4, 20]","[8, 3, 9, 16, 36, 11, 38]","[10, 0, 10, 17, 43, 10, 46]","[7, 0, 13, 19, 46, 7, 39]","[4, 0, 16, 31, 26, 4, 14]","[4, 4, 12, 20, 30, 8, 18]","[0, 4, 16, 29, 14, 4, 9]","[1, 4, 15, 35, 27, 5, 7]","[2, 1, 17, 26, 29, 3, 15]","[4, 3, 13, 23, 22, 7, 24]","[5, 3, 12, 19, 20, 8, 25]","[3, 3, 14, 31, 28, 6, 18]","[4, 1, 15, 19, 31, 5, 23]","[4, 1, 15, 26, 33, 5, 20]","[4, 2, 14, 22, 37, 6, 23]","[2, 0, 18, 41, 26, 2, 15]"
21,"[4, 3, 14, 49, 23, 7, 34]","[2, 2, 17, 25, 29, 4, 11]","[7, 3, 11, 41, 18, 10, 36]","[6, 1, 14, 34, 22, 7, 25]","[4, 0, 17, 31, 35, 4, 20]","[8, 3, 10, 37, 17, 11, 38]","[10, 0, 11, 44, 18, 10, 46]","[7, 0, 14, 49, 21, 7, 39]","[4, 0, 17, 28, 33, 4, 14]","[4, 4, 13, 31, 21, 8, 18]","[0, 4, 17, 15, 32, 4, 9]","[1, 4, 16, 27, 36, 5, 7]","[2, 1, 18, 30, 32, 3, 15]","[4, 3, 14, 24, 25, 7, 24]","[5, 3, 13, 22, 21, 8, 25]","[3, 3, 15, 28, 33, 6, 18]","[4, 1, 16, 34, 20, 5, 23]","[4, 1, 16, 33, 29, 5, 20]","[4, 3, 14, 37, 22, 7, 23]","[2, 0, 19, 26, 45, 2, 15]"
22,"[4, 3, 15, 24, 50, 7, 34]","[2, 2, 18, 30, 29, 4, 11]","[7, 3, 12, 20, 42, 10, 36]","[7, 1, 14, 25, 34, 8, 25]","[4, 0, 18, 37, 32, 4, 20]","[8, 3, 11, 22, 39, 11, 38]","[10, 0, 12, 20, 45, 10, 46]","[7, 0, 15, 23, 50, 7, 39]","[4, 0, 18, 35, 30, 4, 14]","[4, 4, 14, 21, 32, 8, 18]","[0, 4, 18, 33, 17, 4, 9]","[1, 4, 17, 38, 29, 5, 7]","[2, 1, 19, 33, 33, 3, 15]","[4, 3, 15, 25, 25, 7, 24]","[5, 3, 14, 22, 23, 8, 25]","[3, 3, 16, 33, 30, 6, 18]","[4, 1, 17, 23, 36, 5, 23]","[4, 1, 17, 30, 34, 5, 20]","[4, 3, 15, 24, 38, 7, 23]","[2, 0, 20, 45, 27, 2, 15]"
23,"[4, 3, 16, 53, 25, 7, 34]","[2, 2, 19, 29, 32, 4, 11]","[7, 3, 13, 46, 22, 10, 36]","[7, 1, 15, 36, 27, 8, 25]","[4, 0, 19, 34, 39, 4, 20]","[8, 3, 12, 41, 24, 11, 38]","[10, 0, 13, 47, 21, 10, 46]","[8, 0, 15, 53, 23, 8, 39]","[4, 0, 19, 31, 36, 4, 14]","[4, 4, 15, 33, 25, 8, 18]","[0, 4, 19, 19, 36, 4, 9]","[1, 4, 18, 29, 39, 5, 7]","[2, 1, 20, 34, 37, 3, 15]","[4, 4, 15, 25, 25, 8, 24]","[5, 3, 15, 23, 25, 8, 25]","[3, 3, 17, 30, 34, 6, 18]","[4, 1, 18, 38, 24, 5, 23]","[4, 1, 18, 35, 32, 5, 20]","[4, 3, 16, 39, 26, 7, 23]","[2, 0, 21, 28, 47, 2, 15]"
