,Arsenal,Aston Villa,Cardiff,Chelsea,Crystal Palace,Everton,Fulham,Hull,Liverpool,Man City,Man United,Newcastle,Norwich,Southampton,Stoke,Sunderland,Swansea,Tottenham,West Brom,West Ham
14,"[7, 2, 5, 26, 7, 9, 47]","[1, 1, 12, 16, 22, 2, 17]","[2, 2, 10, 12, 22, 4, 13]","[5, 1, 8, 29, 9, 6, 46]","[4, 1, 9, 13, 17, 5, 32]","[4, 2, 8, 26, 11, 6, 37]","[2, 0, 12, 17, 31, 2, 15]","[4, 2, 8, 17, 14, 6, 26]","[5, 0, 9, 42, 12, 5, 30]","[8, 0, 6, 48, 9, 8, 44]","[4, 1, 9, 18, 15, 5, 35]","[3, 1, 10, 18, 19, 4, 26]","[4, 3, 7, 12, 11, 7, 26]","[4, 1, 9, 21, 19, 5, 41]","[2, 3, 9, 18, 14, 5, 19]","[2, 2, 10, 13, 21, 4, 25]","[4, 1, 9, 25, 21, 5, 22]","[7, 0, 7, 16, 18, 7, 40]","[3, 0, 11, 16, 16, 3, 17]","[4, 2, 8, 20, 20, 6, 30]"
15,"[7, 2, 6, 28, 9, 9, 47]","[2, 1, 12, 17, 22, 3, 17]","[2, 2, 11, 15, 23, 4, 13]","[6, 1, 8, 33, 9, 7, 46]","[4, 1, 10, 13, 18, 5, 32]","[4, 2, 9, 29, 13, 6, 37]","[3, 0, 12, 18, 31, 3, 15]","[4, 2, 9, 17, 16, 6, 26]","[5, 0, 10, 44, 13, 5, 30]","[8, 0, 7, 52, 10, 8, 44]","[4, 1, 10, 18, 18, 5, 35]","[4, 1, 10, 19, 19, 5, 26]","[4, 3, 8, 13, 12, 7, 26]","[4, 1, 10, 25, 21, 5, 41]","[2, 3, 10, 21, 15, 5, 19]","[2, 2, 11, 14, 23, 4, 25]","[4, 1, 10, 26, 23, 5, 22]","[7, 0, 8, 16, 19, 7, 40]","[3, 0, 12, 16, 19, 3, 17]","[4, 2, 9, 20, 22, 6, 30]"
16,"[7, 2, 7, 29, 10, 9, 47]","[2, 1, 13, 18, 26, 3, 17]","[2, 2, 12, 18, 29, 4, 13]","[7, 1, 8, 39, 9, 8, 46]","[5, 1, 10, 14, 18, 6, 32]","[5, 2, 9, 32, 13, 7, 37]","[3, 0, 13, 19, 34, 3, 15]","[5, 2, 9, 19, 16, 7, 26]","[6, 0, 10, 48, 13, 6, 30]","[8, 0, 8, 54, 12, 8, 44]","[4, 1, 11, 22, 19, 5, 35]","[4, 1, 11, 19, 22, 5, 26]","[5, 3, 8, 15, 12, 8, 26]","[5, 1, 10, 29, 21, 6, 41]","[3, 3, 10, 22, 15, 6, 19]","[2, 2, 12, 14, 24, 4, 25]","[5, 1, 10, 29, 23, 6, 22]","[7, 0, 9, 19, 21, 7, 40]","[3, 0, 13, 19, 22, 3, 17]","[4, 2, 10, 22, 23, 6, 30]"
17,"[7, 2, 8, 32, 11, 9, 47]","[2, 1, 14, 19, 28, 3, 17]","[2, 2, 13, 18, 32, 4, 13]","[8, 1, 8, 42, 9, 9, 46]","[6, 1, 10, 15, 18, 7, 32]","[5, 2, 10, 34, 16, 7, 37]","[4, 0, 13, 20, 34, 4, 15]","[6, 2, 9, 20, 16, 8, 26]","[6, 0, 11, 51, 15, 6, 30]","[8, 0, 9, 57, 13, 8, 44]","[5, 1, 11, 26, 19, 6, 35]","[4, 1, 12, 19, 26, 5, 26]","[5, 3, 9, 15, 13, 8, 26]","[5, 1, 11, 29, 22, 6, 41]","[4, 3, 10, 23, 15, 7, 19]","[3, 2, 12, 18, 24, 5, 25]","[5, 1, 11, 29, 24, 6, 22]","[7, 0, 10, 24, 22, 7, 40]","[3, 0, 14, 22, 25, 3, 17]","[4, 2, 11, 23, 25, 6, 30]"
18,"[8, 2, 8, 35, 11, 10, 47]","[2, 2, 14, 19, 28, 4, 17]","[2, 2, 14, 19, 33, 4, 13]","[8, 1, 9, 43, 11, 9, 46]","[6, 1, 11, 15, 20, 7, 32]","[6, 2, 10, 36, 16, 8, 37]","[4, 0, 14, 22, 36, 4, 15]","[6, 2, 10, 20, 19, 8, 26]","[6, 0, 12, 51, 17, 6, 30]","[9, 0, 9, 61, 13, 9, 44]","[5, 1, 12, 26, 20, 6, 35]","[4, 1, 13, 20, 28, 5, 26]","[5, 3, 10, 17, 16, 8, 26]","[6, 1, 11, 31, 22, 7, 41]","[4, 3, 11, 23, 16, 7, 19]","[4, 2, 12, 20, 24, 6, 25]","[5, 1, 12, 33, 25, 6, 22]","[7, 0, 11, 27, 23, 7, 40]","[4, 0, 14, 23, 25, 4, 17]","[4, 2, 12, 23, 26, 6, 30]"
19,"[9, 2, 8, 36, 11, 11, 47]","[2, 2, 15, 22, 29, 4, 17]","[2, 2, 15, 20, 35, 4, 13]","[8, 2, 9, 43, 11, 10, 46]","[6, 1, 12, 18, 23, 7, 32]","[6, 2, 11, 38, 19, 8, 37]","[4, 0, 15, 24, 38, 4, 15]","[6, 2, 11, 20, 21, 8, 26]","[6, 0, 13, 53, 18, 6, 30]","[10, 0, 9, 63, 13, 10, 44]","[5, 1, 13, 29, 21, 6, 35]","[5, 1, 13, 23, 28, 6, 26]","[5, 3, 11, 17, 18, 8, 26]","[6, 1, 12, 32, 23, 7, 41]","[4, 3, 12, 27, 17, 7, 19]","[4, 2, 13, 21, 27, 6, 25]","[5, 1, 13, 33, 26, 6, 22]","[8, 0, 11, 30, 23, 8, 40]","[4, 0, 15, 24, 27, 4, 17]","[5, 2, 12, 25, 26, 7, 30]"
20,"[9, 2, 9, 14, 37, 11, 47]","[2, 2, 16, 32, 23, 4, 17]","[2, 2, 16, 35, 22, 4, 13]","[8, 3, 9, 11, 43, 11, 46]","[6, 1, 13, 24, 20, 7, 32]","[6, 2, 12, 21, 40, 8, 37]","[5, 0, 15, 39, 24, 5, 15]","[6, 2, 12, 21, 22, 8, 26]","[7, 0, 13, 19, 53, 7, 30]","[10, 0, 10, 15, 66, 10, 44]","[5, 1, 14, 25, 30, 6, 35]","[5, 1, 14, 28, 27, 6, 26]","[5, 3, 12, 18, 18, 8, 26]","[7, 1, 12, 24, 32, 8, 41]","[4, 3, 13, 17, 28, 7, 19]","[4, 2, 14, 28, 22, 6, 25]","[5, 1, 14, 26, 34, 6, 22]","[9, 0, 11, 24, 30, 9, 40]","[4, 1, 15, 27, 24, 5, 17]","[5, 3, 12, 26, 25, 8, 30]"
21,"[9, 2, 10, 40, 15, 11, 47]","[2, 2, 17, 24, 34, 4, 17]","[2, 2, 17, 23, 36, 4, 13]","[8, 3, 10, 43, 12, 11, 46]","[6, 1, 14, 20, 26, 7, 32]","[6, 3, 12, 40, 21, 9, 37]","[5, 0, 16, 24, 40, 5, 15]","[6, 2, 13, 22, 23, 8, 26]","[7, 0, 14, 55, 21, 7, 30]","[10, 1, 10, 66, 15, 11, 44]","[5, 1, 15, 30, 26, 6, 35]","[5, 1, 15, 29, 29, 6, 26]","[5, 3, 13, 18, 20, 8, 26]","[7, 1, 13, 32, 25, 8, 41]","[5, 3, 13, 29, 17, 8, 19]","[4, 2, 15, 23, 31, 6, 25]","[6, 1, 14, 36, 26, 7, 22]","[9, 0, 12, 30, 25, 9, 40]","[4, 1, 16, 25, 28, 5, 17]","[5, 4, 12, 25, 26, 9, 30]"
22,"[9, 2, 11, 17, 41, 11, 47]","[3, 2, 17, 35, 24, 5, 17]","[2, 2, 18, 38, 24, 4, 13]","[8, 3, 11, 13, 44, 11, 46]","[6, 1, 15, 26, 22, 7, 32]","[6, 3, 13, 24, 42, 9, 37]","[5, 0, 17, 40, 26, 5, 15]","[6, 2, 14, 26, 24, 8, 26]","[7, 0, 15, 24, 56, 7, 30]","[10, 1, 11, 17, 69, 11, 44]","[5, 1, 16, 27, 34, 6, 35]","[5, 1, 16, 31, 32, 6, 26]","[6, 3, 13, 21, 18, 9, 26]","[8, 1, 13, 26, 32, 9, 41]","[5, 3, 14, 18, 32, 8, 19]","[4, 2, 16, 31, 26, 6, 25]","[7, 1, 14, 28, 36, 8, 22]","[10, 0, 12, 26, 30, 10, 40]","[4, 1, 17, 30, 26, 5, 17]","[5, 4, 13, 26, 26, 9, 30]"
23,"[9, 2, 12, 42, 18, 11, 47]","[3, 3, 17, 24, 35, 6, 17]","[2, 2, 19, 25, 42, 4, 13]","[8, 3, 12, 47, 14, 11, 46]","[6, 1, 16, 23, 29, 7, 32]","[6, 3, 14, 43, 27, 9, 37]","[5, 0, 18, 30, 41, 5, 15]","[6, 2, 15, 25, 28, 8, 26]","[7, 0, 16, 58, 26, 7, 30]","[10, 1, 12, 72, 18, 11, 44]","[5, 1, 17, 36, 28, 6, 35]","[5, 1, 17, 34, 32, 6, 26]","[6, 3, 14, 19, 25, 9, 26]","[8, 1, 14, 33, 27, 9, 41]","[5, 3, 15, 32, 19, 8, 19]","[4, 2, 17, 26, 35, 6, 25]","[7, 1, 15, 36, 30, 8, 22]","[11, 0, 12, 32, 26, 11, 40]","[4, 2, 17, 26, 30, 6, 17]","[6, 4, 13, 29, 26, 10, 30]"
