,Arsenal,Aston Villa,Burnley,Chelsea,Crystal Palace,Everton,Hull,Leicester,Liverpool,Man City,Man United,Newcastle,QPR,Southampton,Stoke,Sunderland,Swansea,Tottenham,West Brom,West Ham
14,"[6, 0, 8, 33, 11, 6, 35]","[0, 3, 11, 11, 18, 3, 22]","[2, 2, 10, 13, 19, 4, 20]","[9, 0, 5, 28, 6, 9, 47]","[1, 1, 12, 17, 20, 2, 13]","[2, 3, 9, 22, 18, 5, 24]","[3, 1, 10, 15, 17, 4, 22]","[1, 2, 11, 15, 18, 3, 24]","[2, 2, 10, 22, 14, 4, 34]","[5, 0, 9, 28, 12, 5, 42]","[5, 0, 9, 30, 10, 5, 27]","[4, 0, 10, 19, 18, 4, 22]","[3, 1, 10, 19, 18, 4, 14]","[6, 2, 6, 24, 10, 8, 41]","[4, 0, 10, 19, 17, 4, 25]","[1, 3, 10, 12, 18, 4, 21]","[5, 0, 9, 19, 15, 5, 35]","[2, 2, 10, 22, 17, 4, 21]","[5, 0, 9, 17, 19, 5, 38]","[4, 1, 9, 21, 14, 5, 21]"
15,"[6, 0, 9, 37, 12, 6, 35]","[0, 3, 12, 11, 19, 3, 22]","[3, 2, 10, 14, 19, 5, 20]","[9, 0, 6, 30, 7, 9, 47]","[1, 1, 13, 19, 21, 2, 13]","[3, 3, 9, 23, 18, 6, 24]","[3, 1, 11, 17, 20, 4, 22]","[2, 2, 11, 17, 18, 4, 24]","[3, 2, 10, 24, 14, 5, 34]","[6, 0, 9, 31, 12, 6, 42]","[6, 0, 9, 33, 10, 6, 27]","[4, 0, 11, 20, 20, 4, 22]","[3, 1, 11, 20, 20, 4, 14]","[7, 2, 6, 25, 10, 9, 41]","[4, 0, 11, 20, 19, 4, 25]","[1, 3, 11, 12, 22, 4, 21]","[5, 0, 10, 19, 16, 5, 35]","[2, 2, 11, 25, 19, 4, 21]","[6, 0, 9, 18, 19, 6, 38]","[4, 1, 10, 21, 15, 5, 21]"
16,"[6, 1, 9, 37, 12, 7, 35]","[0, 3, 13, 14, 22, 3, 22]","[3, 3, 10, 14, 19, 6, 20]","[10, 0, 6, 31, 7, 10, 47]","[1, 1, 14, 19, 23, 2, 13]","[4, 3, 9, 24, 18, 7, 24]","[4, 1, 11, 18, 20, 5, 22]","[2, 2, 12, 18, 21, 4, 24]","[3, 2, 11, 25, 16, 5, 34]","[7, 0, 9, 33, 12, 7, 42]","[6, 0, 10, 36, 11, 6, 27]","[4, 0, 12, 21, 23, 4, 22]","[3, 1, 12, 21, 22, 4, 14]","[8, 2, 6, 27, 10, 10, 41]","[4, 0, 12, 22, 20, 4, 25]","[2, 3, 11, 13, 22, 5, 21]","[5, 0, 11, 22, 17, 5, 35]","[2, 2, 12, 29, 22, 4, 21]","[6, 0, 10, 19, 23, 6, 38]","[5, 1, 10, 22, 15, 6, 21]"
17,"[6, 1, 10, 37, 13, 7, 35]","[0, 3, 14, 17, 24, 3, 22]","[3, 3, 11, 14, 20, 6, 20]","[11, 0, 6, 32, 7, 11, 47]","[1, 1, 15, 19, 25, 2, 13]","[5, 3, 9, 27, 18, 8, 24]","[4, 1, 12, 19, 23, 5, 22]","[3, 2, 12, 21, 21, 5, 24]","[4, 2, 11, 27, 16, 6, 34]","[7, 0, 10, 36, 14, 7, 42]","[6, 0, 11, 40, 13, 6, 27]","[4, 0, 13, 23, 26, 4, 22]","[3, 1, 13, 21, 23, 4, 14]","[9, 2, 6, 29, 10, 11, 41]","[4, 0, 13, 23, 21, 4, 25]","[2, 3, 12, 14, 26, 5, 21]","[5, 0, 12, 23, 18, 5, 35]","[2, 2, 13, 29, 23, 4, 21]","[6, 0, 11, 21, 26, 6, 38]","[5, 1, 11, 23, 16, 6, 21]"
18,"[6, 2, 10, 37, 13, 8, 35]","[1, 3, 14, 18, 24, 4, 22]","[3, 3, 12, 14, 21, 6, 20]","[11, 0, 7, 33, 8, 11, 47]","[1, 1, 16, 20, 27, 2, 13]","[5, 3, 10, 27, 20, 8, 24]","[4, 1, 13, 19, 24, 5, 22]","[4, 2, 12, 23, 21, 6, 24]","[4, 2, 12, 29, 17, 6, 34]","[8, 0, 10, 42, 14, 8, 42]","[6, 0, 12, 40, 14, 6, 27]","[4, 0, 14, 24, 27, 4, 22]","[3, 2, 13, 21, 23, 5, 14]","[9, 2, 7, 31, 12, 11, 41]","[5, 0, 13, 26, 21, 5, 25]","[2, 3, 13, 16, 27, 5, 21]","[6, 0, 12, 25, 18, 6, 35]","[2, 2, 14, 29, 24, 4, 21]","[6, 1, 11, 21, 26, 7, 38]","[6, 1, 11, 24, 16, 7, 21]"
19,"[6, 2, 11, 41, 14, 8, 35]","[1, 3, 15, 18, 25, 4, 22]","[3, 4, 12, 14, 21, 7, 20]","[11, 0, 8, 36, 9, 11, 47]","[2, 1, 16, 21, 27, 3, 13]","[5, 3, 11, 27, 21, 8, 24]","[4, 2, 13, 19, 24, 6, 22]","[4, 2, 13, 28, 22, 6, 24]","[4, 2, 13, 30, 20, 6, 34]","[9, 0, 10, 44, 14, 9, 42]","[6, 0, 13, 41, 15, 6, 27]","[5, 0, 14, 26, 27, 5, 22]","[3, 2, 14, 23, 24, 5, 14]","[9, 2, 8, 37, 13, 11, 41]","[5, 0, 14, 32, 22, 5, 25]","[2, 4, 13, 16, 27, 6, 21]","[6, 0, 13, 27, 22, 6, 35]","[3, 2, 14, 31, 24, 5, 21]","[7, 1, 11, 24, 26, 8, 38]","[6, 1, 12, 25, 18, 7, 21]"
20,"[6, 2, 12, 16, 43, 8, 35]","[2, 3, 15, 26, 18, 5, 22]","[3, 4, 13, 21, 15, 7, 20]","[11, 0, 9, 12, 37, 11, 47]","[2, 1, 17, 28, 23, 3, 13]","[5, 3, 12, 23, 29, 8, 24]","[5, 2, 13, 25, 19, 7, 22]","[4, 2, 14, 22, 30, 6, 24]","[4, 2, 14, 21, 33, 6, 34]","[10, 0, 10, 16, 44, 10, 42]","[6, 0, 14, 16, 42, 6, 27]","[5, 1, 14, 27, 26, 6, 22]","[3, 2, 15, 24, 27, 5, 14]","[9, 2, 9, 14, 39, 11, 41]","[5, 0, 15, 23, 33, 5, 25]","[2, 4, 14, 29, 18, 6, 21]","[6, 0, 14, 24, 28, 6, 35]","[4, 2, 14, 25, 31, 6, 21]","[7, 2, 11, 26, 24, 9, 38]","[6, 1, 13, 21, 26, 7, 21]"
21,"[6, 2, 13, 44, 17, 8, 35]","[3, 3, 15, 19, 26, 6, 22]","[3, 5, 13, 15, 21, 8, 20]","[11, 0, 10, 43, 15, 11, 47]","[2, 1, 18, 26, 31, 3, 13]","[6, 3, 12, 31, 23, 9, 24]","[5, 2, 14, 20, 27, 7, 22]","[5, 2, 14, 31, 22, 7, 24]","[5, 2, 14, 36, 21, 7, 34]","[10, 0, 11, 46, 18, 10, 42]","[6, 1, 14, 42, 16, 7, 27]","[5, 1, 15, 26, 31, 6, 22]","[3, 2, 16, 27, 28, 5, 14]","[9, 2, 10, 42, 15, 11, 41]","[6, 0, 15, 34, 23, 6, 25]","[2, 4, 15, 18, 30, 6, 21]","[6, 0, 15, 30, 28, 6, 35]","[4, 2, 15, 33, 27, 6, 21]","[7, 2, 12, 24, 29, 9, 38]","[6, 1, 14, 28, 23, 7, 21]"
22,"[7, 2, 13, 20, 44, 9, 35]","[3, 3, 16, 26, 22, 6, 22]","[3, 5, 14, 21, 19, 8, 20]","[11, 0, 11, 16, 44, 11, 47]","[2, 1, 19, 34, 28, 3, 13]","[6, 3, 13, 24, 32, 9, 24]","[5, 2, 15, 29, 22, 7, 22]","[5, 2, 15, 22, 33, 7, 24]","[5, 2, 15, 22, 39, 7, 34]","[10, 0, 12, 22, 48, 10, 42]","[6, 1, 15, 19, 47, 7, 27]","[5, 1, 16, 31, 27, 6, 22]","[3, 2, 17, 29, 29, 5, 14]","[10, 2, 10, 16, 42, 12, 41]","[6, 0, 16, 25, 36, 6, 25]","[2, 5, 15, 30, 18, 7, 21]","[6, 1, 15, 28, 30, 7, 35]","[4, 2, 16, 28, 34, 6, 21]","[8, 2, 12, 30, 24, 10, 38]","[6, 1, 15, 24, 30, 7, 21]"
23,"[7, 2, 14, 44, 22, 9, 35]","[3, 3, 17, 22, 29, 6, 22]","[3, 5, 15, 21, 23, 8, 20]","[11, 0, 12, 46, 17, 11, 47]","[2, 1, 20, 28, 36, 3, 13]","[6, 3, 14, 33, 26, 9, 24]","[5, 2, 16, 24, 31, 7, 22]","[5, 2, 16, 33, 23, 7, 24]","[5, 2, 16, 42, 24, 7, 34]","[11, 0, 12, 50, 22, 11, 42]","[6, 1, 16, 49, 21, 7, 27]","[5, 1, 17, 29, 33, 6, 22]","[3, 2, 18, 29, 31, 5, 14]","[10, 2, 11, 42, 17, 12, 41]","[6, 0, 17, 37, 28, 6, 25]","[2, 5, 16, 18, 38, 7, 21]","[6, 1, 16, 31, 30, 7, 35]","[4, 2, 17, 35, 32, 6, 21]","[8, 2, 13, 25, 32, 10, 38]","[6, 1, 16, 33, 25, 7, 21]"
