,Arsenal,Aston Villa,Bournemouth,Chelsea,Crystal Palace,Everton,Leicester,Liverpool,Man City,Man United,Newcastle,Norwich,Southampton,Stoke,Sunderland,Swansea,Tottenham,Watford,West Brom,West Ham
14,"[4, 2, 8, 19, 10, 6, 46]","[2, 1, 11, 11, 23, 3, 12]","[3, 1, 10, 17, 21, 4, 15]","[3, 0, 11, 26, 21, 3, 21]","[2, 2, 10, 15, 19, 4, 16]","[2, 0, 12, 27, 23, 2, 22]","[4, 2, 8, 24, 15, 6, 41]","[4, 0, 10, 20, 18, 4, 29]","[3, 1, 10, 35, 17, 4, 38]","[5, 4, 5, 19, 7, 9, 44]","[2, 1, 11, 21, 21, 3, 18]","[3, 0, 11, 19, 22, 3, 13]","[6, 0, 8, 24, 15, 6, 30]","[4, 1, 9, 16, 14, 5, 24]","[2, 0, 12, 17, 16, 2, 17]","[3, 2, 9, 13, 18, 5, 21]","[3, 3, 8, 25, 10, 6, 33]","[4, 4, 6, 13, 11, 8, 25]","[2, 2, 10, 18, 20, 4, 25]","[5, 1, 8, 22, 14, 6, 27]"
15,"[5, 2, 8, 23, 10, 7, 46]","[2, 1, 12, 11, 25, 3, 12]","[3, 1, 11, 20, 23, 4, 15]","[3, 0, 12, 27, 22, 3, 21]","[2, 2, 11, 16, 21, 4, 16]","[2, 0, 13, 29, 26, 2, 22]","[5, 2, 8, 25, 15, 7, 41]","[4, 0, 11, 24, 19, 4, 29]","[4, 1, 10, 39, 17, 5, 38]","[6, 4, 5, 20, 7, 10, 44]","[2, 1, 12, 22, 22, 3, 18]","[3, 1, 11, 19, 22, 4, 13]","[6, 0, 9, 25, 16, 6, 30]","[4, 1, 10, 17, 16, 5, 24]","[2, 1, 12, 17, 16, 3, 17]","[4, 2, 9, 14, 18, 6, 21]","[3, 3, 9, 27, 12, 6, 33]","[4, 4, 7, 13, 12, 8, 25]","[3, 2, 10, 19, 20, 5, 25]","[5, 1, 9, 24, 16, 6, 27]"
16,"[5, 2, 9, 24, 11, 7, 46]","[2, 1, 13, 11, 29, 3, 12]","[3, 1, 12, 20, 27, 4, 15]","[3, 0, 13, 29, 24, 3, 21]","[2, 2, 12, 16, 22, 4, 16]","[2, 0, 14, 29, 28, 2, 22]","[6, 2, 8, 26, 15, 8, 41]","[5, 0, 11, 28, 19, 5, 29]","[4, 1, 11, 39, 18, 5, 38]","[7, 4, 5, 21, 7, 11, 44]","[3, 1, 12, 25, 22, 4, 18]","[3, 1, 12, 22, 24, 4, 13]","[6, 0, 10, 28, 18, 6, 30]","[4, 1, 11, 19, 18, 5, 24]","[2, 1, 13, 17, 18, 3, 17]","[5, 2, 9, 15, 18, 7, 21]","[4, 3, 9, 30, 12, 7, 33]","[4, 4, 8, 14, 14, 8, 25]","[3, 2, 11, 19, 21, 5, 25]","[5, 1, 10, 27, 19, 6, 27]"
17,"[6, 2, 9, 26, 11, 8, 46]","[2, 1, 14, 12, 31, 3, 12]","[3, 1, 13, 21, 29, 4, 15]","[3, 0, 14, 29, 27, 3, 21]","[3, 2, 12, 17, 22, 5, 16]","[2, 0, 15, 30, 29, 2, 22]","[6, 2, 9, 28, 17, 8, 41]","[5, 0, 12, 30, 21, 5, 29]","[4, 1, 12, 41, 19, 5, 38]","[8, 4, 5, 23, 7, 12, 44]","[3, 1, 13, 26, 23, 4, 18]","[3, 1, 13, 22, 27, 4, 13]","[6, 0, 11, 31, 19, 6, 30]","[4, 1, 12, 19, 22, 5, 24]","[2, 2, 13, 17, 18, 4, 17]","[6, 2, 9, 16, 18, 8, 21]","[5, 3, 9, 33, 12, 8, 33]","[4, 4, 9, 15, 15, 8, 25]","[3, 2, 12, 19, 22, 5, 25]","[5, 1, 11, 30, 20, 6, 27]"
18,"[7, 2, 9, 27, 11, 9, 46]","[2, 1, 15, 14, 35, 3, 12]","[3, 1, 14, 22, 33, 4, 15]","[3, 0, 15, 31, 29, 3, 21]","[3, 3, 12, 17, 22, 6, 16]","[2, 0, 16, 32, 30, 2, 22]","[7, 2, 9, 32, 17, 9, 41]","[6, 0, 12, 32, 21, 6, 29]","[5, 1, 12, 45, 19, 6, 38]","[8, 4, 6, 24, 8, 12, 44]","[4, 1, 13, 27, 23, 5, 18]","[3, 1, 14, 22, 28, 4, 13]","[6, 0, 12, 35, 21, 6, 30]","[4, 1, 13, 20, 23, 5, 24]","[2, 2, 14, 20, 20, 4, 17]","[6, 2, 10, 19, 19, 8, 21]","[5, 3, 10, 34, 13, 8, 33]","[4, 4, 10, 18, 17, 8, 25]","[3, 2, 13, 19, 25, 5, 25]","[5, 1, 12, 31, 24, 6, 27]"
19,"[8, 2, 9, 31, 11, 10, 46]","[2, 2, 15, 14, 35, 4, 12]","[3, 1, 15, 23, 34, 4, 15]","[3, 0, 16, 32, 30, 3, 21]","[3, 3, 13, 19, 23, 6, 16]","[3, 0, 16, 35, 30, 3, 22]","[7, 2, 10, 35, 18, 9, 41]","[6, 0, 13, 33, 22, 6, 29]","[5, 1, 13, 47, 21, 6, 38]","[8, 4, 7, 27, 9, 12, 44]","[4, 1, 14, 32, 24, 5, 18]","[3, 1, 15, 26, 30, 4, 13]","[6, 0, 13, 39, 22, 6, 30]","[4, 1, 14, 22, 24, 5, 24]","[3, 2, 14, 23, 20, 5, 17]","[6, 2, 11, 20, 20, 8, 21]","[5, 3, 11, 35, 15, 8, 33]","[4, 4, 11, 20, 19, 8, 25]","[3, 2, 14, 20, 26, 5, 25]","[5, 1, 13, 34, 26, 6, 27]"
20,"[8, 2, 10, 13, 32, 10, 46]","[3, 2, 15, 36, 14, 5, 12]","[3, 1, 16, 34, 24, 4, 15]","[3, 0, 17, 30, 35, 3, 21]","[3, 3, 14, 26, 20, 6, 16]","[4, 0, 16, 33, 35, 4, 22]","[7, 2, 11, 20, 36, 9, 41]","[7, 0, 13, 23, 33, 7, 29]","[6, 1, 13, 24, 47, 7, 38]","[9, 4, 7, 10, 27, 13, 44]","[4, 1, 15, 24, 34, 5, 18]","[3, 1, 16, 33, 27, 4, 13]","[6, 0, 14, 24, 41, 6, 30]","[4, 1, 15, 26, 24, 5, 24]","[3, 2, 15, 22, 27, 5, 17]","[6, 2, 12, 22, 22, 8, 21]","[5, 3, 12, 15, 36, 8, 33]","[4, 4, 12, 21, 22, 8, 25]","[3, 3, 14, 26, 20, 6, 25]","[6, 1, 13, 28, 34, 7, 27]"
21,"[9, 2, 10, 33, 13, 11, 46]","[3, 2, 16, 15, 38, 5, 12]","[3, 1, 17, 28, 37, 4, 15]","[3, 0, 18, 38, 32, 3, 21]","[3, 3, 15, 22, 27, 6, 16]","[4, 1, 16, 35, 33, 5, 22]","[7, 2, 12, 37, 21, 9, 41]","[7, 1, 13, 33, 23, 8, 29]","[7, 1, 13, 49, 24, 8, 38]","[9, 4, 8, 28, 12, 13, 44]","[4, 2, 15, 34, 24, 6, 18]","[3, 1, 17, 27, 36, 4, 13]","[6, 1, 14, 41, 24, 7, 30]","[4, 1, 16, 25, 27, 5, 24]","[3, 2, 16, 29, 24, 5, 17]","[6, 2, 13, 23, 23, 8, 21]","[5, 3, 13, 37, 16, 8, 33]","[4, 4, 13, 22, 23, 8, 25]","[4, 3, 14, 21, 26, 7, 25]","[7, 1, 13, 37, 28, 8, 27]"
22,"[9, 2, 11, 13, 35, 11, 46]","[3, 2, 17, 40, 18, 5, 12]","[3, 1, 18, 38, 31, 4, 15]","[3, 0, 19, 33, 41, 3, 21]","[3, 3, 16, 27, 23, 6, 16]","[4, 2, 16, 33, 35, 6, 22]","[7, 2, 13, 23, 39, 9, 41]","[7, 1, 14, 24, 36, 8, 29]","[8, 1, 13, 25, 49, 9, 38]","[9, 4, 9, 15, 30, 13, 44]","[4, 2, 16, 24, 36, 6, 18]","[3, 1, 18, 37, 28, 4, 13]","[6, 2, 14, 24, 41, 8, 30]","[4, 1, 17, 27, 27, 5, 24]","[3, 2, 17, 24, 31, 5, 17]","[6, 2, 14, 23, 24, 8, 21]","[6, 3, 13, 17, 37, 9, 33]","[4, 4, 14, 25, 23, 8, 25]","[5, 3, 14, 27, 21, 8, 25]","[7, 1, 14, 30, 38, 8, 27]"
23,"[9, 2, 12, 40, 15, 11, 46]","[3, 2, 18, 20, 43, 5, 12]","[3, 1, 19, 32, 40, 4, 15]","[3, 0, 20, 43, 35, 3, 21]","[4, 3, 16, 24, 27, 7, 16]","[4, 2, 17, 38, 35, 6, 22]","[7, 2, 14, 41, 24, 9, 41]","[7, 1, 15, 37, 25, 8, 29]","[8, 1, 14, 50, 29, 9, 38]","[9, 4, 10, 30, 18, 13, 44]","[4, 2, 17, 37, 30, 6, 18]","[3, 1, 19, 30, 39, 4, 13]","[6, 2, 15, 44, 25, 8, 30]","[5, 1, 17, 28, 27, 6, 24]","[3, 2, 18, 31, 27, 5, 17]","[6, 2, 15, 25, 26, 8, 21]","[6, 3, 14, 39, 19, 9, 33]","[4, 4, 15, 24, 26, 8, 25]","[5, 3, 15, 21, 29, 8, 25]","[7, 1, 15, 40, 32, 8, 27]"
