,Arsenal,Bournemouth,Burnley,Chelsea,Crystal Palace,Everton,Hull,Leicester,Liverpool,Man City,Man United,Middlesbrough,Southampton,Stoke,Sunderland,Swansea,Tottenham,Watford,West Brom,West Ham
14,"[4, 1, 9, 28, 15, 5, 35]","[3, 1, 10, 24, 23, 4, 26]","[5, 0, 9, 22, 12, 5, 24]","[7, 0, 7, 37, 10, 7, 48]","[3, 0, 11, 15, 20, 3, 21]","[6, 0, 8, 30, 10, 6, 35]","[1, 0, 13, 19, 23, 1, 11]","[2, 2, 10, 22, 18, 4, 21]","[3, 1, 10, 36, 13, 4, 30]","[2, 1, 11, 24, 14, 3, 32]","[3, 2, 9, 20, 10, 5, 39]","[3, 2, 9, 12, 17, 5, 19]","[4, 2, 8, 17, 15, 6, 28]","[5, 1, 8, 18, 15, 6, 27]","[2, 1, 11, 14, 26, 3, 14]","[2, 1, 11, 21, 30, 3, 20]","[9, 0, 5, 33, 7, 9, 47]","[1, 1, 12, 21, 23, 2, 17]","[3, 1, 10, 24, 17, 4, 14]","[5, 0, 9, 15, 24, 5, 26]"
15,"[5, 1, 9, 31, 15, 6, 35]","[4, 1, 10, 26, 23, 5, 26]","[5, 0, 10, 22, 14, 5, 24]","[7, 0, 8, 39, 11, 7, 48]","[4, 0, 11, 18, 20, 4, 21]","[7, 0, 8, 34, 10, 7, 35]","[1, 0, 14, 21, 24, 1, 11]","[3, 2, 10, 24, 18, 5, 21]","[3, 1, 11, 39, 14, 4, 30]","[2, 1, 12, 27, 15, 3, 32]","[3, 3, 9, 20, 10, 6, 39]","[3, 3, 9, 12, 17, 6, 19]","[4, 2, 9, 17, 18, 6, 28]","[5, 1, 9, 19, 17, 6, 27]","[2, 2, 11, 14, 26, 4, 14]","[2, 2, 11, 21, 30, 4, 20]","[9, 0, 6, 35, 8, 9, 47]","[2, 1, 12, 22, 23, 3, 17]","[3, 1, 11, 27, 18, 4, 14]","[5, 0, 10, 17, 27, 5, 26]"
16,"[6, 1, 9, 32, 15, 7, 35]","[4, 1, 11, 27, 26, 5, 26]","[6, 0, 10, 23, 14, 6, 24]","[7, 0, 9, 43, 13, 7, 48]","[4, 0, 12, 20, 22, 4, 21]","[7, 0, 9, 38, 12, 7, 35]","[1, 0, 15, 25, 26, 1, 11]","[4, 2, 10, 26, 18, 6, 21]","[3, 1, 12, 41, 16, 4, 30]","[2, 2, 12, 27, 15, 4, 32]","[3, 3, 10, 21, 11, 6, 39]","[3, 3, 10, 13, 19, 6, 19]","[4, 3, 9, 17, 18, 7, 28]","[5, 1, 10, 20, 19, 6, 27]","[2, 2, 12, 14, 29, 4, 14]","[2, 2, 12, 22, 33, 4, 20]","[10, 0, 6, 39, 8, 10, 47]","[3, 1, 12, 24, 23, 4, 17]","[3, 1, 12, 27, 19, 4, 14]","[6, 0, 10, 18, 27, 6, 26]"
17,"[7, 1, 9, 34, 15, 8, 35]","[5, 1, 11, 31, 26, 6, 26]","[6, 0, 11, 23, 16, 6, 24]","[8, 0, 9, 46, 13, 8, 48]","[4, 0, 13, 20, 23, 4, 21]","[7, 0, 10, 41, 13, 7, 35]","[2, 0, 15, 27, 26, 2, 11]","[5, 2, 10, 29, 18, 7, 21]","[3, 1, 13, 42, 18, 4, 30]","[3, 2, 12, 32, 15, 5, 32]","[4, 3, 10, 23, 11, 7, 39]","[4, 3, 10, 14, 19, 7, 19]","[4, 3, 10, 17, 20, 7, 28]","[5, 1, 11, 23, 20, 6, 27]","[2, 2, 13, 16, 31, 4, 14]","[3, 2, 12, 24, 33, 5, 20]","[11, 0, 6, 43, 8, 11, 47]","[4, 1, 12, 25, 23, 5, 17]","[3, 1, 13, 27, 20, 4, 14]","[6, 1, 10, 18, 27, 7, 26]"
18,"[8, 1, 9, 36, 15, 9, 35]","[5, 1, 12, 33, 28, 6, 26]","[6, 0, 12, 25, 18, 6, 24]","[8, 0, 10, 50, 16, 8, 48]","[4, 0, 14, 20, 25, 4, 21]","[7, 0, 11, 41, 16, 7, 35]","[2, 0, 16, 27, 28, 2, 11]","[5, 2, 11, 30, 24, 7, 21]","[3, 2, 13, 42, 18, 5, 30]","[3, 2, 13, 34, 16, 5, 32]","[4, 3, 11, 24, 12, 7, 39]","[4, 3, 11, 16, 21, 7, 19]","[4, 4, 10, 17, 20, 8, 28]","[5, 2, 11, 23, 20, 7, 27]","[2, 2, 14, 16, 32, 4, 14]","[4, 2, 12, 25, 33, 6, 20]","[12, 0, 6, 45, 8, 12, 47]","[4, 1, 13, 25, 24, 5, 17]","[3, 1, 14, 27, 21, 4, 14]","[7, 1, 10, 19, 27, 8, 26]"
19,"[8, 1, 10, 39, 16, 9, 35]","[5, 1, 13, 35, 29, 6, 26]","[6, 0, 13, 26, 20, 6, 24]","[8, 0, 11, 55, 17, 8, 48]","[5, 0, 14, 24, 25, 5, 21]","[8, 0, 11, 42, 16, 8, 35]","[2, 0, 17, 28, 35, 2, 11]","[5, 2, 12, 31, 25, 7, 21]","[4, 2, 13, 45, 18, 6, 30]","[3, 2, 14, 37, 17, 5, 32]","[5, 3, 11, 26, 12, 8, 39]","[4, 3, 12, 17, 23, 7, 19]","[4, 4, 11, 17, 21, 8, 28]","[5, 2, 12, 24, 24, 7, 27]","[2, 2, 15, 16, 34, 4, 14]","[4, 2, 13, 27, 34, 6, 20]","[12, 0, 7, 47, 9, 12, 47]","[4, 1, 14, 25, 29, 5, 17]","[3, 1, 15, 27, 22, 4, 14]","[7, 1, 11, 19, 31, 8, 26]"
20,"[8, 2, 10, 16, 39, 10, 35]","[5, 1, 14, 29, 36, 6, 26]","[6, 0, 14, 20, 29, 6, 24]","[8, 0, 12, 19, 56, 8, 48]","[5, 0, 15, 25, 25, 5, 21]","[8, 0, 12, 18, 43, 8, 35]","[3, 0, 17, 37, 28, 3, 11]","[5, 2, 13, 26, 33, 7, 21]","[4, 2, 14, 22, 48, 6, 30]","[3, 2, 15, 21, 38, 5, 32]","[5, 3, 12, 15, 27, 8, 39]","[4, 3, 13, 25, 18, 7, 19]","[4, 4, 12, 21, 19, 8, 28]","[5, 2, 13, 25, 25, 7, 27]","[2, 2, 16, 35, 18, 4, 14]","[5, 2, 13, 35, 27, 7, 20]","[12, 0, 8, 10, 48, 12, 47]","[4, 1, 15, 30, 26, 5, 17]","[4, 1, 15, 23, 27, 5, 14]","[7, 1, 12, 32, 21, 8, 26]"
21,"[8, 2, 11, 42, 17, 10, 35]","[5, 1, 15, 37, 30, 6, 26]","[6, 0, 15, 29, 23, 6, 24]","[8, 0, 13, 58, 21, 8, 48]","[5, 0, 16, 27, 26, 5, 21]","[9, 0, 12, 46, 18, 9, 35]","[3, 0, 18, 29, 38, 3, 11]","[5, 2, 14, 34, 30, 7, 21]","[4, 2, 15, 48, 24, 6, 30]","[3, 2, 16, 40, 22, 5, 32]","[6, 3, 12, 28, 15, 9, 39]","[4, 4, 13, 18, 25, 8, 19]","[4, 4, 13, 20, 23, 8, 28]","[5, 2, 14, 25, 26, 7, 27]","[2, 2, 17, 19, 36, 4, 14]","[5, 2, 14, 28, 37, 7, 20]","[13, 0, 8, 52, 10, 13, 47]","[4, 1, 16, 30, 32, 5, 17]","[4, 1, 16, 27, 24, 5, 14]","[7, 1, 13, 22, 35, 8, 26]"
22,"[8, 2, 12, 21, 43, 10, 35]","[5, 1, 16, 30, 41, 6, 26]","[6, 0, 16, 24, 32, 6, 24]","[8, 0, 14, 21, 61, 8, 48]","[5, 0, 17, 29, 29, 5, 21]","[9, 0, 13, 18, 47, 9, 35]","[3, 0, 19, 39, 34, 3, 11]","[5, 2, 15, 31, 38, 7, 21]","[4, 2, 16, 25, 49, 6, 30]","[3, 2, 17, 25, 41, 5, 32]","[6, 3, 13, 16, 31, 9, 39]","[4, 4, 14, 26, 21, 8, 19]","[5, 4, 13, 26, 20, 9, 28]","[5, 2, 15, 27, 29, 7, 27]","[2, 2, 18, 36, 20, 4, 14]","[5, 2, 15, 37, 29, 7, 20]","[13, 0, 9, 12, 53, 13, 47]","[4, 1, 17, 32, 32, 5, 17]","[4, 1, 17, 25, 28, 5, 14]","[7, 1, 14, 37, 26, 8, 26]"
23,"[9, 2, 12, 44, 21, 11, 35]","[5, 1, 17, 43, 32, 6, 26]","[6, 1, 16, 32, 24, 7, 24]","[9, 0, 14, 63, 21, 9, 48]","[5, 0, 18, 30, 30, 5, 21]","[9, 0, 14, 48, 19, 9, 35]","[3, 0, 20, 35, 45, 3, 11]","[5, 2, 16, 38, 34, 7, 21]","[4, 2, 17, 51, 26, 6, 30]","[3, 2, 18, 41, 27, 5, 32]","[6, 4, 13, 31, 16, 10, 39]","[4, 4, 15, 22, 27, 8, 19]","[5, 5, 13, 20, 26, 10, 28]","[5, 2, 16, 30, 28, 7, 27]","[2, 2, 19, 20, 38, 4, 14]","[5, 2, 16, 31, 40, 7, 20]","[13, 0, 10, 54, 13, 13, 47]","[5, 1, 17, 33, 32, 6, 17]","[4, 1, 18, 29, 26, 5, 14]","[8, 1, 14, 27, 37, 9, 26]"
24,"[9, 2, 13, 25, 45, 11, 35]","[5, 1, 18, 32, 45, 6, 26]","[6, 1, 17, 24, 36, 7, 24]","[10, 0, 14, 23, 63, 10, 48]","[5, 0, 19, 31, 33, 5, 21]","[9, 0, 15, 20, 50, 9, 35]","[3, 0, 21, 45, 36, 3, 11]","[5, 2, 17, 35, 39, 7, 21]","[4, 2, 18, 28, 52, 6, 30]","[4, 2, 18, 31, 41, 6, 32]","[6, 4, 14, 16, 35, 10, 39]","[4, 5, 15, 27, 22, 9, 19]","[5, 5, 14, 27, 21, 10, 28]","[6, 2, 16, 30, 30, 8, 27]","[2, 2, 20, 38, 21, 4, 14]","[5, 2, 17, 41, 34, 7, 20]","[13, 1, 10, 13, 54, 14, 47]","[5, 2, 17, 32, 33, 7, 17]","[4, 1, 19, 27, 31, 5, 14]","[8, 1, 15, 37, 29, 9, 26]"
