,Arsenal,Bournemouth,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Huddersfield,Leicester,Liverpool,Man City,Man United,Newcastle,Southampton,Stoke,Swansea,Tottenham,Watford,West Brom,West Ham
14,"[6, 0, 8, 36, 17, 6, 35]","[1, 1, 12, 20, 21, 2, 14]","[2, 2, 10, 19, 20, 4, 20]","[5, 1, 8, 10, 11, 6, 28]","[7, 2, 5, 24, 10, 9, 42]","[1, 1, 12, 16, 20, 2, 19]","[3, 1, 10, 23, 18, 4, 24]","[3, 2, 9, 15, 20, 5, 20]","[5, 0, 9, 20, 16, 5, 21]","[5, 2, 7, 31, 10, 7, 43]","[5, 0, 9, 50, 10, 5, 50]","[9, 1, 4, 31, 6, 10, 51]","[3, 1, 10, 12, 15, 4, 25]","[1, 1, 12, 16, 19, 2, 14]","[2, 1, 11, 16, 21, 3, 12]","[4, 1, 9, 11, 18, 5, 19]","[6, 1, 7, 29, 9, 7, 46]","[2, 1, 11, 21, 26, 3, 21]","[2, 3, 9, 15, 20, 5, 22]","[4, 1, 9, 16, 20, 5, 24]"
15,"[7, 0, 8, 39, 17, 7, 35]","[1, 1, 13, 21, 25, 2, 14]","[2, 2, 11, 21, 21, 4, 20]","[5, 1, 9, 12, 12, 6, 28]","[7, 2, 6, 26, 11, 9, 42]","[1, 1, 13, 18, 23, 2, 19]","[4, 1, 10, 25, 18, 5, 24]","[3, 3, 9, 15, 20, 6, 20]","[5, 0, 10, 21, 17, 5, 21]","[6, 2, 7, 33, 10, 8, 43]","[6, 0, 9, 51, 10, 6, 50]","[9, 1, 5, 33, 7, 10, 51]","[4, 1, 10, 15, 15, 5, 25]","[1, 1, 13, 16, 21, 2, 14]","[2, 1, 12, 16, 23, 3, 12]","[4, 1, 10, 15, 19, 5, 19]","[7, 1, 7, 31, 9, 8, 46]","[3, 1, 11, 22, 26, 4, 21]","[2, 3, 10, 16, 24, 5, 22]","[5, 1, 9, 19, 20, 6, 24]"
16,"[8, 0, 8, 42, 17, 8, 35]","[1, 1, 14, 23, 26, 2, 14]","[2, 2, 12, 21, 23, 4, 20]","[5, 1, 10, 14, 13, 6, 28]","[7, 2, 7, 27, 14, 9, 42]","[1, 1, 14, 19, 25, 2, 19]","[4, 1, 11, 26, 21, 5, 24]","[3, 3, 10, 15, 22, 6, 20]","[5, 0, 11, 22, 19, 5, 21]","[7, 2, 7, 38, 10, 9, 43]","[6, 0, 10, 53, 13, 6, 50]","[10, 1, 5, 35, 7, 11, 51]","[5, 1, 10, 16, 15, 6, 25]","[1, 2, 13, 16, 21, 3, 14]","[2, 1, 13, 17, 25, 3, 12]","[4, 1, 11, 16, 20, 5, 19]","[7, 1, 8, 32, 12, 8, 46]","[3, 1, 12, 24, 28, 4, 21]","[2, 3, 11, 17, 26, 5, 22]","[5, 1, 10, 20, 21, 6, 24]"
17,"[8, 0, 9, 45, 19, 8, 35]","[1, 1, 15, 25, 28, 2, 14]","[2, 2, 13, 22, 24, 4, 20]","[5, 1, 11, 15, 15, 6, 28]","[7, 2, 8, 28, 15, 9, 42]","[1, 1, 15, 22, 27, 2, 19]","[4, 2, 11, 26, 21, 6, 24]","[4, 3, 10, 16, 22, 7, 20]","[5, 1, 11, 22, 19, 6, 21]","[8, 2, 7, 41, 10, 10, 43]","[7, 0, 10, 58, 13, 7, 50]","[10, 1, 6, 35, 8, 11, 51]","[5, 1, 11, 18, 16, 6, 25]","[1, 2, 14, 18, 24, 3, 14]","[2, 1, 14, 18, 27, 3, 12]","[4, 1, 12, 16, 21, 5, 19]","[8, 1, 8, 34, 12, 9, 46]","[3, 1, 13, 25, 30, 4, 21]","[2, 3, 12, 18, 27, 5, 22]","[5, 1, 11, 21, 25, 6, 24]"
18,"[8, 0, 10, 49, 20, 8, 35]","[1, 1, 16, 25, 30, 2, 14]","[2, 2, 14, 23, 25, 4, 20]","[5, 2, 11, 15, 15, 7, 28]","[8, 2, 8, 29, 15, 10, 42]","[2, 1, 15, 27, 27, 3, 19]","[5, 2, 11, 27, 21, 7, 24]","[4, 3, 11, 16, 24, 7, 20]","[5, 1, 12, 22, 21, 6, 21]","[8, 3, 7, 41, 10, 11, 43]","[7, 1, 10, 58, 13, 8, 50]","[10, 1, 7, 37, 9, 11, 51]","[5, 1, 12, 18, 17, 6, 25]","[1, 2, 15, 20, 25, 3, 14]","[2, 1, 15, 19, 28, 3, 12]","[4, 1, 13, 16, 22, 5, 19]","[9, 1, 8, 35, 12, 10, 46]","[3, 2, 13, 25, 30, 5, 21]","[2, 3, 13, 20, 29, 5, 22]","[5, 2, 11, 21, 25, 7, 24]"
19,"[9, 0, 10, 54, 20, 9, 35]","[2, 1, 16, 26, 30, 3, 14]","[3, 2, 14, 24, 25, 5, 20]","[5, 2, 12, 16, 17, 7, 28]","[8, 2, 9, 30, 16, 10, 42]","[3, 1, 15, 29, 27, 4, 19]","[5, 2, 12, 28, 22, 7, 24]","[4, 3, 12, 16, 25, 7, 20]","[5, 1, 13, 25, 22, 6, 21]","[9, 3, 7, 45, 10, 12, 43]","[7, 1, 11, 61, 14, 8, 50]","[11, 1, 7, 38, 9, 12, 51]","[6, 1, 12, 21, 17, 7, 25]","[1, 2, 16, 20, 26, 3, 14]","[2, 1, 16, 20, 30, 3, 12]","[4, 1, 14, 17, 24, 5, 19]","[9, 1, 9, 40, 16, 10, 46]","[3, 2, 14, 27, 31, 5, 21]","[3, 3, 13, 21, 29, 6, 22]","[5, 2, 12, 24, 26, 7, 24]"
20,"[9, 0, 11, 20, 55, 9, 35]","[2, 1, 17, 30, 27, 3, 14]","[3, 2, 15, 25, 26, 5, 20]","[5, 2, 13, 20, 18, 7, 28]","[8, 2, 10, 18, 31, 10, 42]","[3, 1, 16, 27, 30, 4, 19]","[5, 2, 13, 23, 29, 7, 24]","[5, 3, 12, 28, 16, 8, 20]","[5, 1, 14, 25, 29, 6, 21]","[9, 3, 8, 13, 48, 12, 43]","[8, 1, 11, 16, 61, 9, 50]","[12, 1, 7, 13, 38, 13, 51]","[6, 1, 13, 17, 22, 7, 25]","[1, 3, 16, 26, 20, 4, 14]","[2, 1, 17, 30, 21, 3, 12]","[4, 2, 14, 24, 17, 6, 19]","[10, 1, 9, 18, 40, 11, 46]","[4, 2, 14, 33, 27, 6, 21]","[4, 3, 13, 30, 21, 7, 22]","[5, 2, 13, 26, 28, 7, 24]"
21,"[9, 0, 12, 55, 24, 9, 35]","[2, 1, 18, 27, 33, 3, 14]","[3, 3, 15, 26, 25, 6, 20]","[5, 2, 14, 19, 21, 7, 28]","[8, 2, 11, 33, 19, 10, 42]","[3, 1, 17, 30, 28, 4, 19]","[5, 2, 14, 29, 25, 7, 24]","[5, 3, 13, 16, 30, 8, 20]","[5, 1, 15, 29, 27, 6, 21]","[9, 3, 9, 48, 18, 12, 43]","[8, 1, 12, 63, 17, 9, 50]","[12, 1, 8, 40, 15, 13, 51]","[7, 1, 13, 23, 17, 8, 25]","[2, 3, 16, 21, 26, 5, 14]","[2, 1, 18, 22, 31, 3, 12]","[5, 2, 14, 19, 24, 7, 19]","[11, 1, 9, 43, 18, 12, 46]","[5, 2, 14, 29, 33, 7, 21]","[4, 3, 14, 22, 33, 7, 22]","[5, 2, 14, 30, 29, 7, 24]"
22,"[9, 1, 12, 24, 55, 10, 35]","[2, 1, 19, 34, 29, 3, 14]","[3, 3, 16, 26, 28, 6, 20]","[5, 2, 15, 22, 20, 7, 28]","[9, 2, 11, 23, 33, 11, 42]","[3, 1, 18, 28, 35, 4, 19]","[5, 2, 15, 25, 33, 7, 24]","[5, 4, 13, 30, 16, 9, 20]","[5, 1, 16, 28, 30, 6, 21]","[9, 3, 10, 21, 50, 12, 43]","[9, 1, 12, 23, 63, 10, 50]","[13, 1, 8, 16, 40, 14, 51]","[7, 1, 14, 17, 24, 8, 25]","[2, 3, 17, 27, 23, 5, 14]","[2, 1, 19, 32, 24, 3, 12]","[5, 3, 14, 24, 19, 8, 19]","[11, 1, 10, 21, 45, 12, 46]","[5, 2, 15, 35, 30, 7, 21]","[4, 3, 15, 33, 24, 7, 22]","[5, 2, 15, 29, 33, 7, 24]"
23,"[9, 1, 13, 56, 26, 10, 35]","[2, 1, 20, 29, 35, 3, 14]","[3, 3, 17, 28, 28, 6, 20]","[6, 2, 15, 21, 22, 8, 28]","[9, 2, 12, 34, 25, 11, 42]","[3, 1, 19, 35, 32, 4, 19]","[5, 2, 16, 34, 26, 7, 24]","[5, 4, 14, 16, 32, 9, 20]","[5, 2, 16, 30, 28, 7, 21]","[9, 3, 11, 51, 22, 12, 43]","[10, 1, 12, 64, 23, 11, 50]","[13, 2, 8, 40, 16, 15, 51]","[7, 1, 15, 26, 19, 8, 25]","[2, 3, 18, 24, 28, 5, 14]","[2, 1, 20, 26, 39, 3, 12]","[5, 3, 15, 19, 25, 8, 19]","[12, 1, 10, 49, 21, 13, 46]","[5, 2, 16, 32, 37, 7, 21]","[4, 3, 16, 25, 34, 7, 22]","[5, 3, 15, 33, 29, 8, 24]"
